"","time","year","month","day","hour","min","sec","lat","long","gpsnum"
"10","2008-08-16T01:08:17Z",2008,8,16,1,8,17,10.1729316451,124.177714018,1
"39488","2008-08-16T01:08:31Z",2008,8,16,1,8,31,10.1729252748,124.177682921,2
"11","2008-08-16T01:08:32Z",2008,8,16,1,8,32,10.1729813498,124.177682083,1
"12","2008-08-16T01:08:47Z",2008,8,16,1,8,47,10.1729768235,124.177672863,2
"13","2008-08-16T01:08:47Z",2008,8,16,1,8,47,10.1729785837,124.177678563,1
"14","2008-08-16T01:09:02Z",2008,8,16,1,9,2,10.1729878876,124.177673534,1
"39489","2008-08-16T01:09:07Z",2008,8,16,1,9,7,10.1730228402,124.177665571,2
"15","2008-08-16T01:09:17Z",2008,8,16,1,9,17,10.1730228402,124.177671522,1
"39490","2008-08-16T01:09:25Z",2008,8,16,1,9,25,10.1730656717,124.177673366,2
"16","2008-08-16T01:09:32Z",2008,8,16,1,9,32,10.1730243489,124.177662134,1
"17","2008-08-16T01:09:47Z",2008,8,16,1,9,47,10.1730296295,124.177660542,1
"18","2008-08-16T01:10:02Z",2008,8,16,1,10,2,10.1730278693,124.177665235,1
"39491","2008-08-16T01:10:13Z",2008,8,16,1,10,13,10.1730873808,124.177698679,2
"19","2008-08-16T01:10:17Z",2008,8,16,1,10,17,10.1730381791,124.177657859,1
"20","2008-08-16T01:10:32Z",2008,8,16,1,10,32,10.1730304677,124.177660123,1
"21","2008-08-16T01:10:47Z",2008,8,16,1,10,47,10.1730532665,124.177647717,1
"39492","2008-08-16T01:10:56Z",2008,8,16,1,10,56,10.1730623189,124.177660123,2
"22","2008-08-16T01:11:02Z",2008,8,16,1,11,2,10.1730550267,124.177642688,1
"23","2008-08-16T01:11:17Z",2008,8,16,1,11,17,10.1730597205,124.177653166,1
"39493","2008-08-16T01:11:22Z",2008,8,16,1,11,22,10.1730654202,124.177665068,2
"24","2008-08-16T01:11:32Z",2008,8,16,1,11,32,10.1730412804,124.177647717,1
"25","2008-08-16T01:11:47Z",2008,8,16,1,11,47,10.1730415318,124.177656099,1
"39494","2008-08-16T01:11:57Z",2008,8,16,1,11,57,10.1730507519,124.177649226,2
"26","2008-08-16T01:12:02Z",2008,8,16,1,12,2,10.1730351616,124.177648639,1
"27","2008-08-16T01:12:17Z",2008,8,16,1,12,17,10.1730360836,124.177656686,1
"39495","2008-08-16T01:12:28Z",2008,8,16,1,12,28,10.1730321441,124.17764294,2
"28","2008-08-16T01:12:32Z",2008,8,16,1,12,32,10.1730408613,124.177653668,1
"29","2008-08-16T01:12:47Z",2008,8,16,1,12,47,10.1730433758,124.177651322,1
"30","2008-08-16T01:13:02Z",2008,8,16,1,13,2,10.1730507519,124.177650819,1
"39496","2008-08-16T01:13:03Z",2008,8,16,1,13,3,10.1730635762,124.177661464,2
"31","2008-08-16T01:13:17Z",2008,8,16,1,13,17,10.1730809268,124.17764755,1
"39497","2008-08-16T01:13:20Z",2008,8,16,1,13,20,10.1731186453,124.177641682,2
"32","2008-08-16T01:13:32Z",2008,8,16,1,13,32,10.1731202379,124.177633049,1
"39498","2008-08-16T01:13:38Z",2008,8,16,1,13,38,10.1731866226,124.177587451,2
"33","2008-08-16T01:13:47Z",2008,8,16,1,13,47,10.1731772348,124.177604718,1
"39499","2008-08-16T01:13:58Z",2008,8,16,1,13,58,10.1732810866,124.177568257,2
"34","2008-08-16T01:14:02Z",2008,8,16,1,14,2,10.1732252631,124.177559372,1
"39500","2008-08-16T01:14:16Z",2008,8,16,1,14,16,10.1733666658,124.177526347,2
"35","2008-08-16T01:14:17Z",2008,8,16,1,14,17,10.1732984371,124.177530454,1
"36","2008-08-16T01:14:32Z",2008,8,16,1,14,32,10.173366582,124.177503549,1
"39501","2008-08-16T01:14:39Z",2008,8,16,1,14,39,10.1734503172,124.177452167,2
"37","2008-08-16T01:14:47Z",2008,8,16,1,14,47,10.1734278537,124.177459376,1
"39502","2008-08-16T01:14:58Z",2008,8,16,1,14,58,10.1735364832,124.177417466,2
"38","2008-08-16T01:15:02Z",2008,8,16,1,15,2,10.173502285,124.177420568,1
"39503","2008-08-16T01:15:15Z",2008,8,16,1,15,15,10.1736123394,124.177355021,2
"39","2008-08-16T01:15:17Z",2008,8,16,1,15,17,10.1735686697,124.177373545,1
"40","2008-08-16T01:15:32Z",2008,8,16,1,15,32,10.1736439392,124.177332139,1
"41","2008-08-16T01:15:32Z",2008,8,16,1,15,32,10.1736809872,124.177335994,2
"42","2008-08-16T01:15:47Z",2008,8,16,1,15,47,10.1737253275,124.17729375,1
"39504","2008-08-16T01:15:50Z",2008,8,16,1,15,50,10.1737701707,124.177311687,2
"43","2008-08-16T01:16:02Z",2008,8,16,1,16,2,10.1737785526,124.177278494,1
"39505","2008-08-16T01:16:07Z",2008,8,16,1,16,7,10.1738199592,124.177271035,2
"44","2008-08-16T01:16:17Z",2008,8,16,1,16,17,10.1738402434,124.177231891,1
"39506","2008-08-16T01:16:24Z",2008,8,16,1,16,24,10.1738915406,124.177268352,2
"45","2008-08-16T01:16:32Z",2008,8,16,1,16,32,10.1739150938,124.177189395,1
"39507","2008-08-16T01:16:43Z",2008,8,16,1,16,43,10.1739894412,124.177220324,2
"46","2008-08-16T01:16:47Z",2008,8,16,1,16,47,10.173988184,124.177152934,1
"39508","2008-08-16T01:17:01Z",2008,8,16,1,17,1,10.1740770321,124.177172044,2
"47","2008-08-16T01:17:02Z",2008,8,16,1,17,2,10.1740449294,124.177127536,1
"48","2008-08-16T01:17:17Z",2008,8,16,1,17,17,10.1741045248,124.177103899,1
"39509","2008-08-16T01:17:20Z",2008,8,16,1,17,20,10.1741216239,124.177136673,2
"49","2008-08-16T01:17:32Z",2008,8,16,1,17,32,10.174180381,124.177069953,1
"39510","2008-08-16T01:17:40Z",2008,8,16,1,17,40,10.1742380485,124.177076742,2
"50","2008-08-16T01:17:47Z",2008,8,16,1,17,47,10.1742574945,124.177034078,1
"39511","2008-08-16T01:17:58Z",2008,8,16,1,17,58,10.174336955,124.177040365,2
"51","2008-08-16T01:18:02Z",2008,8,16,1,18,2,10.1743416488,124.177004239,1
"52","2008-08-16T01:18:17Z",2008,8,16,1,18,17,10.1744218636,124.176972723,1
"39512","2008-08-16T01:18:18Z",2008,8,16,1,18,18,10.1744432375,124.177021589,2
"53","2008-08-16T01:18:32Z",2008,8,16,1,18,32,10.1745023299,124.176937267,1
"39513","2008-08-16T01:18:36Z",2008,8,16,1,18,36,10.174542563,124.176977668,2
"54","2008-08-16T01:18:47Z",2008,8,16,1,18,47,10.1745870709,124.176914468,1
"39514","2008-08-16T01:18:56Z",2008,8,16,1,18,56,10.1746413857,124.176924359,2
"55","2008-08-16T01:19:02Z",2008,8,16,1,19,2,10.1746634301,124.176886221,1
"39515","2008-08-16T01:19:16Z",2008,8,16,1,19,16,10.1747404598,124.176906254,2
"56","2008-08-16T01:19:17Z",2008,8,16,1,19,17,10.174733419,124.176844144,1
"57","2008-08-16T01:19:32Z",2008,8,16,1,19,32,10.1748010609,124.17679905,1
"39516","2008-08-16T01:19:34Z",2008,8,16,1,19,34,10.174839031,124.176842971,2
"58","2008-08-16T01:19:47Z",2008,8,16,1,19,47,10.1748724747,124.17676108,1
"39517","2008-08-16T01:19:54Z",2008,8,16,1,19,54,10.1749400329,124.176823441,2
"59","2008-08-16T01:20:02Z",2008,8,16,1,20,2,10.17494414,124.176732749,1
"39518","2008-08-16T01:20:12Z",2008,8,16,1,20,12,10.1750344969,124.176785387,2
"60","2008-08-16T01:20:17Z",2008,8,16,1,20,17,10.1750214212,124.176713051,1
"61","2008-08-16T01:20:32Z",2008,8,16,1,20,32,10.1750920806,124.176694276,1
"62","2008-08-16T01:20:32Z",2008,8,16,1,20,32,10.1751363371,124.176747333,2
"63","2008-08-16T01:20:47Z",2008,8,16,1,20,47,10.175169697,124.176662844,1
"39519","2008-08-16T01:20:50Z",2008,8,16,1,20,50,10.1752194855,124.176720176,2
"64","2008-08-16T01:21:02Z",2008,8,16,1,21,2,10.1752497442,124.176644152,1
"39520","2008-08-16T01:21:12Z",2008,8,16,1,21,12,10.1753283665,124.176673824,2
"65","2008-08-16T01:21:17Z",2008,8,16,1,21,17,10.1753305458,124.176629568,1
"39521","2008-08-16T01:21:29Z",2008,8,16,1,21,29,10.1754006185,124.176637195,2
"66","2008-08-16T01:21:32Z",2008,8,16,1,21,32,10.1754004508,124.176595286,1
"67","2008-08-16T01:21:47Z",2008,8,16,1,21,47,10.1754618902,124.176554298,1
"68","2008-08-16T01:21:47Z",2008,8,16,1,21,47,10.1754908916,124.176601991,2
"69","2008-08-16T01:22:02Z",2008,8,16,1,22,2,10.1755370758,124.176536193,1
"39522","2008-08-16T01:22:08Z",2008,8,16,1,22,8,10.1755964197,124.176575672,2
"70","2008-08-16T01:22:17Z",2008,8,16,1,22,17,10.1756104175,124.176528649,1
"39523","2008-08-16T01:22:29Z",2008,8,16,1,22,29,10.175687531,124.176572822,2
"71","2008-08-16T01:22:32Z",2008,8,16,1,22,32,10.1756823342,124.176501241,1
"72","2008-08-16T01:22:47Z",2008,8,16,1,22,47,10.175757939,124.176477855,1
"73","2008-08-16T01:22:47Z",2008,8,16,1,22,47,10.1757681649,124.176560417,2
"74","2008-08-16T01:23:02Z",2008,8,16,1,23,2,10.1758316997,124.176462935,1
"39524","2008-08-16T01:23:07Z",2008,8,16,1,23,7,10.1758636348,124.176509539,2
"75","2008-08-16T01:23:17Z",2008,8,16,1,23,17,10.1759077236,124.176459834,1
"76","2008-08-16T01:23:32Z",2008,8,16,1,23,32,10.1759823225,124.176452458,1
"77","2008-08-16T01:23:32Z",2008,8,16,1,23,32,10.1759826578,124.176496547,2
"78","2008-08-16T01:23:47Z",2008,8,16,1,23,47,10.1760538202,124.176449943,1
"39525","2008-08-16T01:23:52Z",2008,8,16,1,23,52,10.1760853361,124.176467881,2
"79","2008-08-16T01:24:02Z",2008,8,16,1,24,2,10.1761070453,124.176442986,1
"39526","2008-08-16T01:24:08Z",2008,8,16,1,24,8,10.1761049498,124.176471233,2
"80","2008-08-16T01:24:17Z",2008,8,16,1,24,17,10.1761288382,124.176444663,1
"81","2008-08-16T01:24:32Z",2008,8,16,1,24,32,10.1761367172,124.176447932,1
"39527","2008-08-16T01:24:37Z",2008,8,16,1,24,37,10.1761204563,124.176469389,2
"82","2008-08-16T01:24:47Z",2008,8,16,1,24,47,10.1761363819,124.176455643,1
"83","2008-08-16T01:25:02Z",2008,8,16,1,25,2,10.1761408243,124.176458241,1
"39528","2008-08-16T01:25:08Z",2008,8,16,1,25,8,10.1761174388,124.17648104,2
"84","2008-08-16T01:25:17Z",2008,8,16,1,25,17,10.1761457697,124.176458325,1
"85","2008-08-16T01:25:32Z",2008,8,16,1,25,32,10.1761460211,124.176463941,1
"39529","2008-08-16T01:25:33Z",2008,8,16,1,25,33,10.1761259884,124.176480789,2
"86","2008-08-16T01:25:47Z",2008,8,16,1,25,47,10.1761441771,124.176467462,1
"87","2008-08-16T01:26:02Z",2008,8,16,1,26,2,10.1761470269,124.176473245,1
"39530","2008-08-16T01:26:07Z",2008,8,16,1,26,7,10.1761328615,124.176476933,2
"88","2008-08-16T01:26:17Z",2008,8,16,1,26,17,10.1761511341,124.17647073,1
"89","2008-08-16T01:26:32Z",2008,8,16,1,26,32,10.1761678979,124.176465366,1
"39531","2008-08-16T01:26:42Z",2008,8,16,1,26,42,10.1761467755,124.176489254,2
"90","2008-08-16T01:26:47Z",2008,8,16,1,26,47,10.176164126,124.17647467,1
"91","2008-08-16T01:27:02Z",2008,8,16,1,27,2,10.1761531457,124.176478526,1
"39532","2008-08-16T01:27:03Z",2008,8,16,1,27,3,10.1761556603,124.176483219,2
"92","2008-08-16T01:27:17Z",2008,8,16,1,27,17,10.1761512179,124.176478526,1
"93","2008-08-16T01:27:32Z",2008,8,16,1,27,32,10.1761548221,124.176485231,1
"39533","2008-08-16T01:27:45Z",2008,8,16,1,27,45,10.1761614438,124.176472491,2
"94","2008-08-16T01:27:47Z",2008,8,16,1,27,47,10.1761568338,124.176486321,1
"95","2008-08-16T01:28:02Z",2008,8,16,1,28,2,10.1761587616,124.176485064,1
"39534","2008-08-16T01:28:10Z",2008,8,16,1,28,10,10.1761601865,124.176468467,2
"96","2008-08-16T01:28:17Z",2008,8,16,1,28,17,10.1761526428,124.176476849,1
"97","2008-08-16T01:28:32Z",2008,8,16,1,28,32,10.1761445962,124.176483136,1
"39535","2008-08-16T01:28:43Z",2008,8,16,1,28,43,10.1761578396,124.176474838,2
"98","2008-08-16T01:28:47Z",2008,8,16,1,28,47,10.1761430874,124.176480453,1
"99","2008-08-16T01:29:02Z",2008,8,16,1,29,2,10.1761500444,124.176469389,1
"39536","2008-08-16T01:29:13Z",2008,8,16,1,29,13,10.1761630364,124.176463187,2
"100","2008-08-16T01:29:17Z",2008,8,16,1,29,17,10.1761493739,124.176466456,1
"101","2008-08-16T01:29:32Z",2008,8,16,1,29,32,10.1761380583,124.176476765,1
"39537","2008-08-16T01:29:44Z",2008,8,16,1,29,44,10.1761558279,124.176461929,2
"102","2008-08-16T01:29:47Z",2008,8,16,1,29,47,10.1761296764,124.176484644,1
"103","2008-08-16T01:30:02Z",2008,8,16,1,30,2,10.1761262398,124.17648498,1
"104","2008-08-16T01:30:17Z",2008,8,16,1,30,17,10.1761258207,124.176493278,1
"39538","2008-08-16T01:30:20Z",2008,8,16,1,30,20,10.1761568338,124.17645975,2
"105","2008-08-16T01:30:32Z",2008,8,16,1,30,32,10.1761279162,124.176501576,1
"39539","2008-08-16T01:30:45Z",2008,8,16,1,30,45,10.1761606894,124.176463187,2
"106","2008-08-16T01:30:47Z",2008,8,16,1,30,47,10.1761254855,124.176487746,1
"107","2008-08-16T01:31:02Z",2008,8,16,1,31,2,10.1761355437,124.176480034,1
"108","2008-08-16T01:31:17Z",2008,8,16,1,31,17,10.1761390641,124.176479867,1
"39540","2008-08-16T01:31:21Z",2008,8,16,1,31,21,10.1761541516,124.176458996,2
"109","2008-08-16T01:31:32Z",2008,8,16,1,31,32,10.1761463564,124.176475676,1
"110","2008-08-16T01:31:47Z",2008,8,16,1,31,47,10.1761458535,124.176476933,1
"39541","2008-08-16T01:31:48Z",2008,8,16,1,31,48,10.1761764474,124.176462349,2
"111","2008-08-16T01:32:02Z",2008,8,16,1,32,2,10.1761469431,124.176477268,1
"39542","2008-08-16T01:32:15Z",2008,8,16,1,32,15,10.1761950552,124.176472239,2
"112","2008-08-16T01:32:17Z",2008,8,16,1,32,17,10.1761556603,124.176469892,1
"113","2008-08-16T01:32:32Z",2008,8,16,1,32,32,10.1761624496,124.17646654,1
"39543","2008-08-16T01:32:44Z",2008,8,16,1,32,44,10.1761999168,124.176476849,2
"114","2008-08-16T01:32:47Z",2008,8,16,1,32,47,10.1761689875,124.176468132,1
"115","2008-08-16T01:33:02Z",2008,8,16,1,33,2,10.1761711668,124.176471066,1
"116","2008-08-16T01:33:17Z",2008,8,16,1,33,17,10.1761722565,124.17647358,1
"39544","2008-08-16T01:33:18Z",2008,8,16,1,33,18,10.1761827338,124.1764942,2
"117","2008-08-16T01:33:32Z",2008,8,16,1,33,32,10.1761739329,124.176479364,1
"39545","2008-08-16T01:33:35Z",2008,8,16,1,33,35,10.176157672,124.176500486,2
"118","2008-08-16T01:33:47Z",2008,8,16,1,33,47,10.1761805546,124.176498139,1
"39546","2008-08-16T01:33:55Z",2008,8,16,1,33,55,10.1761634555,124.176542396,2
"119","2008-08-16T01:34:02Z",2008,8,16,1,34,2,10.1762186922,124.176522447,1
"39547","2008-08-16T01:34:13Z",2008,8,16,1,34,13,10.1761852484,124.176611966,2
"120","2008-08-16T01:34:17Z",2008,8,16,1,34,17,10.176243335,124.176538792,1
"121","2008-08-16T01:34:32Z",2008,8,16,1,34,32,10.1762642898,124.176556142,1
"39548","2008-08-16T01:34:34Z",2008,8,16,1,34,34,10.1762227993,124.176686229,2
"122","2008-08-16T01:34:47Z",2008,8,16,1,34,47,10.1762702409,124.17656268,1
"39549","2008-08-16T01:34:51Z",2008,8,16,1,34,51,10.1762221288,124.176748758,2
"123","2008-08-16T01:35:02Z",2008,8,16,1,35,2,10.1762771979,124.176579444,1
"39550","2008-08-16T01:35:11Z",2008,8,16,1,35,11,10.1762245595,124.176823022,2
"124","2008-08-16T01:35:17Z",2008,8,16,1,35,17,10.176274851,124.17663753,1
"39551","2008-08-16T01:35:29Z",2008,8,16,1,35,29,10.1761485357,124.176819837,2
"125","2008-08-16T01:35:32Z",2008,8,16,1,35,32,10.1762515493,124.176701987,1
"39552","2008-08-16T01:35:44Z",2008,8,16,1,35,44,10.1760916226,124.176834589,2
"126","2008-08-16T01:35:47Z",2008,8,16,1,35,47,10.1761850808,124.176765438,1
"39553","2008-08-16T01:36:01Z",2008,8,16,1,36,1,10.1760360505,124.176860237,2
"127","2008-08-16T01:36:02Z",2008,8,16,1,36,2,10.1761214621,124.176816819,1
"39554","2008-08-16T01:36:15Z",2008,8,16,1,36,15,10.1759934705,124.176890077,2
"128","2008-08-16T01:36:17Z",2008,8,16,1,36,17,10.1760610286,124.176864596,1
"39555","2008-08-16T01:36:30Z",2008,8,16,1,36,30,10.1759670675,124.17694984,2
"129","2008-08-16T01:36:32Z",2008,8,16,1,36,32,10.1760021877,124.176912541,1
"130","2008-08-16T01:36:47Z",2008,8,16,1,36,47,10.1759648882,124.176981775,1
"39556","2008-08-16T01:36:50Z",2008,8,16,1,36,50,10.1759571768,124.177049752,2
"131","2008-08-16T01:37:02Z",2008,8,16,1,37,2,10.1759659778,124.177003065,1
"39557","2008-08-16T01:37:11Z",2008,8,16,1,37,11,10.1759647205,124.177047992,2
"132","2008-08-16T01:37:17Z",2008,8,16,1,37,17,10.1759651396,124.177011279,1
"133","2008-08-16T01:37:32Z",2008,8,16,1,37,32,10.175956171,124.177021673,1
"39558","2008-08-16T01:37:41Z",2008,8,16,1,37,41,10.1759602781,124.177011782,2
"134","2008-08-16T01:37:47Z",2008,8,16,1,37,47,10.1759604458,124.17702687,1
"135","2008-08-16T01:38:02Z",2008,8,16,1,38,2,10.1759668998,124.177029133,1
"39559","2008-08-16T01:38:06Z",2008,8,16,1,38,6,10.1759639662,124.177014045,2
"136","2008-08-16T01:38:17Z",2008,8,16,1,38,17,10.1759745274,124.177028798,1
"137","2008-08-16T01:38:32Z",2008,8,16,1,38,32,10.1759802271,124.177022679,1
"39560","2008-08-16T01:38:37Z",2008,8,16,1,38,37,10.1759733539,124.177010693,2
"138","2008-08-16T01:38:47Z",2008,8,16,1,38,47,10.1759805623,124.177017398,1
"139","2008-08-16T01:39:02Z",2008,8,16,1,39,2,10.1759738568,124.177018236,1
"39561","2008-08-16T01:39:12Z",2008,8,16,1,39,12,10.1759735215,124.177003233,2
"140","2008-08-16T01:39:17Z",2008,8,16,1,39,17,10.1759742759,124.17701765,1
"141","2008-08-16T01:39:32Z",2008,8,16,1,39,32,10.1759822387,124.177011196,1
"39562","2008-08-16T01:39:39Z",2008,8,16,1,39,39,10.1759804785,124.177015722,2
"142","2008-08-16T01:39:47Z",2008,8,16,1,39,47,10.1759958174,124.177000131,1
"143","2008-08-16T01:40:02Z",2008,8,16,1,40,2,10.1760209631,124.176992923,1
"39563","2008-08-16T01:40:05Z",2008,8,16,1,40,5,10.1760113239,124.177010693,2
"144","2008-08-16T01:40:17Z",2008,8,16,1,40,17,10.1760538202,124.176995521,1
"39564","2008-08-16T01:40:28Z",2008,8,16,1,40,28,10.1760658901,124.177004574,2
"145","2008-08-16T01:40:32Z",2008,8,16,1,40,32,10.1761050336,124.177019997,1
"146","2008-08-16T01:40:47Z",2008,8,16,1,40,47,10.1761362981,124.177056961,1
"39565","2008-08-16T01:40:49Z",2008,8,16,1,40,49,10.176117355,124.177065426,2
"147","2008-08-16T01:41:02Z",2008,8,16,1,41,2,10.176142836,124.177079676,1
"39566","2008-08-16T01:41:09Z",2008,8,16,1,41,9,10.1761165168,124.177102726,2
"148","2008-08-16T01:41:17Z",2008,8,16,1,41,17,10.1761208754,124.177114796,1
"39567","2008-08-16T01:41:27Z",2008,8,16,1,41,27,10.1760655548,124.17711027,2
"149","2008-08-16T01:41:32Z",2008,8,16,1,41,32,10.1761003397,124.177130638,1
"150","2008-08-16T01:41:47Z",2008,8,16,1,41,47,10.1760979928,124.177139858,1
"39568","2008-08-16T01:41:51Z",2008,8,16,1,41,51,10.1760683209,124.177132566,2
"151","2008-08-16T01:42:02Z",2008,8,16,1,42,2,10.1761053689,124.177135918,1
"39569","2008-08-16T01:42:13Z",2008,8,16,1,42,13,10.1760737691,124.177148072,2
"152","2008-08-16T01:42:17Z",2008,8,16,1,42,17,10.1761086378,124.177134577,1
"153","2008-08-16T01:42:32Z",2008,8,16,1,42,32,10.1761082187,124.177140947,1
"39570","2008-08-16T01:42:44Z",2008,8,16,1,42,44,10.1760876831,124.177146228,2
"154","2008-08-16T01:42:47Z",2008,8,16,1,42,47,10.176093718,124.17715528,1
"155","2008-08-16T01:43:02Z",2008,8,16,1,43,2,10.1760903653,124.177156873,1
"39571","2008-08-16T01:43:12Z",2008,8,16,1,43,12,10.1760871802,124.177139439,2
"156","2008-08-16T01:43:17Z",2008,8,16,1,43,17,10.1760908682,124.177151341,1
"157","2008-08-16T01:43:32Z",2008,8,16,1,43,32,10.1760970708,124.177142959,1
"158","2008-08-16T01:43:47Z",2008,8,16,1,43,47,10.1761035249,124.177134326,1
"39572","2008-08-16T01:43:49Z",2008,8,16,1,43,49,10.1760861743,124.177128458,2
"159","2008-08-16T01:44:02Z",2008,8,16,1,44,2,10.1761047821,124.177130638,1
"160","2008-08-16T01:44:17Z",2008,8,16,1,44,17,10.1761042792,124.177133655,1
"39573","2008-08-16T01:44:18Z",2008,8,16,1,44,18,10.1760859229,124.177130219,2
"161","2008-08-16T01:44:32Z",2008,8,16,1,44,32,10.1761020999,124.177130638,1
"162","2008-08-16T01:44:47Z",2008,8,16,1,44,47,10.1760995854,124.177130889,1
"39574","2008-08-16T01:44:48Z",2008,8,16,1,44,48,10.1760897785,124.177123178,2
"163","2008-08-16T01:45:02Z",2008,8,16,1,45,2,10.1760911196,124.1771298,1
"39575","2008-08-16T01:45:10Z",2008,8,16,1,45,10,10.1760895271,124.177132398,2
"164","2008-08-16T01:45:17Z",2008,8,16,1,45,17,10.1760926284,124.177135248,1
"165","2008-08-16T01:45:32Z",2008,8,16,1,45,32,10.1760968193,124.177138181,1
"39576","2008-08-16T01:45:37Z",2008,8,16,1,45,37,10.1760868449,124.17713617,2
"166","2008-08-16T01:45:47Z",2008,8,16,1,45,47,10.1760908682,124.177144049,1
"167","2008-08-16T01:46:02Z",2008,8,16,1,46,2,10.1760940533,124.177149497,1
"39577","2008-08-16T01:46:09Z",2008,8,16,1,46,9,10.1760921255,124.177142959,2
"168","2008-08-16T01:46:17Z",2008,8,16,1,46,17,10.1761017647,124.177152682,1
"169","2008-08-16T01:46:32Z",2008,8,16,1,46,32,10.176100675,124.177157795,1
"39578","2008-08-16T01:46:36Z",2008,8,16,1,46,36,10.1760816481,124.177137678,2
"170","2008-08-16T01:46:47Z",2008,8,16,1,46,47,10.1760968193,124.177158382,1
"171","2008-08-16T01:47:02Z",2008,8,16,1,47,2,10.1760956459,124.177161567,1
"172","2008-08-16T01:47:17Z",2008,8,16,1,47,17,10.1760954782,124.177159555,1
"39579","2008-08-16T01:47:21Z",2008,8,16,1,47,21,10.1760708354,124.17713508,2
"173","2008-08-16T01:47:32Z",2008,8,16,1,47,32,10.1760928798,124.177161064,1
"174","2008-08-16T01:47:47Z",2008,8,16,1,47,47,10.1760785468,124.17715,1
"39580","2008-08-16T01:47:49Z",2008,8,16,1,47,49,10.176072428,124.177131727,2
"175","2008-08-16T01:48:02Z",2008,8,16,1,48,2,10.1760728471,124.17714254,1
"176","2008-08-16T01:48:17Z",2008,8,16,1,48,17,10.1760704163,124.177132063,1
"39581","2008-08-16T01:48:24Z",2008,8,16,1,48,24,10.1760744397,124.177123094,2
"177","2008-08-16T01:48:32Z",2008,8,16,1,48,32,10.1760715898,124.177128794,1
"39582","2008-08-16T01:48:46Z",2008,8,16,1,48,46,10.176087264,124.177130051,2
"178","2008-08-16T01:48:47Z",2008,8,16,1,48,47,10.1760826539,124.177131224,1
"179","2008-08-16T01:49:02Z",2008,8,16,1,49,2,10.1760796364,124.177140864,1
"39583","2008-08-16T01:49:07Z",2008,8,16,1,49,7,10.1760773733,124.177150754,2
"180","2008-08-16T01:49:17Z",2008,8,16,1,49,17,10.1760827377,124.177149581,1
"39584","2008-08-16T01:49:30Z",2008,8,16,1,49,30,10.1760901976,124.177154778,2
"181","2008-08-16T01:49:32Z",2008,8,16,1,49,32,10.176084917,124.177153185,1
"182","2008-08-16T01:49:47Z",2008,8,16,1,49,47,10.1760934666,124.177145138,1
"39585","2008-08-16T01:49:57Z",2008,8,16,1,49,57,10.176086342,124.177132566,2
"183","2008-08-16T01:50:02Z",2008,8,16,1,50,2,10.1760965679,124.177148743,1
"184","2008-08-16T01:50:17Z",2008,8,16,1,50,17,10.1760931313,124.177154526,1
"185","2008-08-16T01:50:32Z",2008,8,16,1,50,32,10.1760836598,124.177156035,1
"39586","2008-08-16T01:50:38Z",2008,8,16,1,50,38,10.1760661416,124.177144049,2
"186","2008-08-16T01:50:47Z",2008,8,16,1,50,47,10.1760828216,124.177157041,1
"39587","2008-08-16T01:50:50Z",2008,8,16,1,50,50,10.1760422532,124.177155029,2
"187","2008-08-16T01:51:02Z",2008,8,16,1,51,2,10.1760762837,124.177168692,1
