// PRBI_create_2009-10-29
159	0	2	16	3	2
0
Indiv	X	Y	A1_AC1359	A1_AC1578	A1_APR_Cf29	A1_NNG_012	A1_ACH_A11	A1_ACH_A4	A1_ACH_B9	A1_NNG_028	A1_ACH_A7	A1_ACH_C1	A1_ACH_D1	A1_ACH_A3	A1_ACH_A8	A1_NNG_004	A1_NNG_007	A1_APR_Cf39
PRBI147	553765.182022436	1066538.27413953	019020	001001	003007	004005	002009	003005	00100010	001002	002002	002005	022037	001002	001012	002002	004005	007009
PRBI148	553765.182022436	1066538.27413953	020020	002002	003005	004005	003021	001005	0060010	031036	002005	005007	017026	002002	001007	001002	005005	005009
PRBI149	551976.744475182	1062000.72061853	020021	001002	003003	004004	0030010	003009	006013	001021	003004	002002	017022	001002	001012	002002	005007	000000
PRBI150	552047.544934295	1062268.0285893	019020	001002	003006	004004	003009	001005	006006	001021	002003	002005	001024	001002	007012	001002	005005	005009
PRBI151	552047.544934295	1062268.0285893	020020	001002	003006	004005	003006	002005	001001	031034	002002	004005	017018	001002	001012	002002	004004	009009
PRBI152	552072.936158978	1062363.07113877	020020	001002	003006	004004	003009	002009	0060010	001002	002005	004005	001001	002002	001001	002002	005007	007009
PRBI153	552072.936158978	1062363.07113877	019020	001002	006006	004004	009021	001005	001013	001001	002004	001002	021022	001001	001007	002002	005006	007009
PRBI154	552412.648911698	1061418.92642381	020020	001001	003007	004004	003015	002002	0010010	001021	002002	002004	000000	002002	001007	001002	005005	000000
PRBI155	552412.648911698	1061418.92642381	020021	001001	003006	005005	003007	002003	001001	001021	002004	000000	000000	001001	001012	001002	005005	007009
PRBI156	552393.774582091	1061443.14151373	020020	001002	006009	004005	003009	002003	009009	001001	004004	002002	021024	001002	001007	002002	005005	007007
PRBI157	552361.715434651	1061448.17321178	020020	002002	003003	004005	001006	002005	006006	001036	002002	004005	017021	001002	007012	001002	004006	009009
PRBI158	552212.070902579	1061515.62251654	020021	001002	003005	004005	003006	002005	0010011	001001	002002	002002	017027	001001	001007	002002	005005	005009
PRBI159	552212.070902579	1061515.62251654	019020	001002	001006	004005	001021	001005	006013	001021	002005	002005	001021	001002	001007	002002	005005	0070010
PRBI110	564623.408671339	1090674.39334803	020020	001002	003006	004005	003009	002002	002002	001029	002002	004005	001020	002002	001007	002002	005005	000000
PRBI112	562397.766978096	1087046.88585049	020020	000000	003009	005005	001006	001009	001006	021035	003004	005005	001018	001002	007012	002002	004005	005009
PRBI113	562407.427256885	1086988.97228005	020020	000000	003003	000000	009016	001005	001009	001001	002002	002005	021032	001001	001007	001002	004005	000000
PRBI114	562407.427256885	1086988.97228005	020020	002002	003003	004004	001015	001002	009013	035036	002003	004005	017033	001001	001007	001002	004007	005007
PRBI115	562386.857112702	1086962.27460255	019019	002002	002003	004005	009015	002003	001009	002021	002002	005005	017017	002002	001007	002002	004007	007009
PRBI116	562336.873144429	1086963.75540369	020020	001002	006006	004005	007009	003005	006006	001027	004004	005007	001018	001002	001003	002002	005005	007009
PRBI117	562342.680161911	1087005.40025045	019019	001002	003003	004004	001003	001002	006006	001001	002002	002004	001021	001002	001007	002002	005007	005007
PRBI118	562342.680161911	1087005.40025045	019019	001001	003005	004005	009015	001003	006006	001001	002002	002002	001001	001002	001007	001002	005005	005007
PRBI119	562372.342364459	1086998.85095326	020020	001001	003004	004005	006006	001001	0060010	021027	002002	001002	017017	002002	001007	002002	004007	007009
PRBI120	562372.342364459	1086998.85095326	020021	001001	006006	004005	003006	002002	009013	001021	002004	002004	021024	001002	001012	002002	004005	007009
PRBI121	562372.342364459	1086998.85095326	020020	002002	003006	004005	003003	001005	001002	001027	002004	002005	021022	001001	007007	001002	005007	005007
PRBI122	562311.075101984	1088093.66915011	020020	002002	002006	004005	003021	001005	001001	021021	002004	002005	022024	002002	001012	002002	004007	005009
PRBI123	562311.075101984	1088093.66915011	019020	001002	005006	004005	003009	002003	0090010	032034	002002	002004	001020	002002	001007	001001	004005	0050010
PRBI86	566691.150689549	1094330.83541986	000000	000000	000000	000000	003006	001001	006009	021036	002002	001002	001029	001002	003007	001002	004004	007009
PRBI87	566691.150689549	1094330.83541986	019020	002002	003003	004004	003016	003005	009013	001001	002002	004005	000000	001002	001007	002002	004005	009009
PRBI98	566011.113568838	1091238.92820968	019020	001002	003009	004004	003016	001002	0020010	033036	002003	002005	022024	002002	007012	002002	005007	007007
PRBI99	566011.113568838	1091238.92820968	021021	001002	003003	004005	015016	002005	006007	001032	003004	001006	001017	002002	007012	002002	005007	005009
PRBI209	570278.150162115	1112735.49567739	019020	001002	0090010	004004	021022	002005	006011	001002	002003	002002	017024	001002	001001	002002	004005	007009
PRBI210	570278.150162115	1112735.49567739	020020	001001	006006	004004	003003	003003	001009	001002	002002	001002	020021	002002	001012	002002	004005	007007
PRBI211	570278.150162115	1112735.49567739	020020	002002	003006	005005	005009	001005	002002	002021	002004	002005	001017	001002	001013	002002	005005	000000
PRBI213	570278.150162115	1112735.49567739	019020	001002	005005	004005	003009	001003	004013	002023	002003	002005	022034	002002	012012	001001	005006	005007
PRBI214	570278.150162115	1112735.49567739	019020	001002	003006	004004	003009	005005	009013	001029	002003	002002	001001	001002	001007	001002	005005	007009
PRBI215	570278.150162115	1112735.49567739	019020	001002	0060010	004004	006009	002003	009011	001001	002002	002005	017021	001002	001012	001002	004004	009009
PRBI216	570278.150162115	1112735.49567739	020020	001002	003005	004005	003004	002002	001002	001021	002002	002004	001022	002002	012012	002002	004005	009009
PRBI226	572291.652378343	1113980.06476955	019019	001002	003006	004004	001003	005005	0010010	001001	002002	000000	022024	001002	001001	002002	004007	005007
PRBI227	572291.652378343	1113980.06476955	019020	001002	002003	004005	003004	002005	0090010	002036	002002	001005	022029	002002	007007	002002	004004	005005
PRBI228	572295.96989045	1113990.8519702	020020	001001	005006	004005	003009	002002	0060010	001025	002002	002005	017020	002002	003007	002002	004005	005007
PRBI229	572295.96989045	1113990.8519702	020020	001001	003006	004005	003016	002002	002006	021036	002003	001002	029034	001002	001003	002002	005005	0070010
PRBI230	572342.909955323	1114013.92885541	020021	001002	003009	004005	001016	002002	006009	001001	002005	005006	021027	001001	007012	002002	004006	007007
PRBI231	572347.009896801	1114018.48713667	020020	001002	0060010	004004	003003	001002	0060010	001002	002004	000000	001017	001002	001012	002002	005005	007007
PRBI232	572347.009896801	1114018.48713667	019020	001002	0030010	004005	003016	001003	001002	002035	002002	002004	001021	001002	001007	002002	005007	007009
PRBI233	572469.669532822	1114035.12137562	019019	000000	001003	000000	006009	002009	013013	001031	002002	002005	001015	001001	012012	002002	005005	000000
PRBI234	572564.397413448	1114030.3515023	020020	002002	004006	004005	003006	003007	002006	001021	002002	002002	017026	002002	001001	002002	004005	005005
PRBI235	572564.397413448	1114030.3515023	019020	001002	006006	004004	009021	003005	001015	001027	004004	006007	022026	001002	001007	002002	004007	007009
PRBI236	572579.222792107	1114025.11939421	020020	001001	003003	005005	006009	001003	006006	001001	003003	001005	017018	001002	007012	001002	004005	007009
PRBI237	572604.582842407	1114033.99430948	020021	001001	006006	004005	001003	002002	0010013	001001	002002	002006	001024	002002	012012	002002	004005	007009
PRBI238	572608.562748686	1114038.28921999	019020	001001	003006	004004	001003	001003	002006	021033	002002	002002	001020	001002	001007	002002	004007	005007
PRBI239	572608.562748686	1114038.28921999	019019	002002	003004	004004	001003	001002	006009	001002	002002	002005	001021	001002	001007	002002	006007	007007
PRBI160	589505.333920777	1130687.30825386	020020	002002	003006	004005	003021	002003	0090010	001001	002002	002006	021032	002002	007012	002002	004004	009009
PRBI161	589505.333920777	1130687.30825386	020020	001002	003006	004004	003006	001003	006006	001001	002002	002002	001029	001002	001001	002002	001005	007009
PRBI164	589800.391923539	1130684.53272985	001001	003004	011019	001001	000000	001021	000000	009019	001001	001001	025029	002002	000000	004005	008008	000000
PRBI167	589791.787232378	1130717.30894308	020020	001001	006009	004004	006008	001005	006009	001021	002002	005005	021022	002002	012012	001002	005007	005007
PRBI168	586697.909678107	1129911.63266871	019020	001001	006009	004004	003006	001005	001002	001001	000000	000000	001021	002002	007007	002002	004007	009009
PRBI169	586697.909678107	1129911.63266871	020020	001001	003006	004005	003021	002005	001002	001001	002004	002005	001001	001002	001012	001002	005005	009009
PRBI170	586563.82069754	1129911.95658335	020020	001002	005006	004004	003006	001003	001006	001021	002004	004005	022030	002002	001007	001002	005007	007009
PRBI174	585788.73149614	1130071.16288319	019020	002002	006006	004004	003021	001002	002006	001001	002004	002005	017024	001002	001012	002002	004005	0050010
PRBI175	585860.789138005	1130135.34990258	020020	000000	003003	005005	003003	001002	006006	001032	002002	004005	001021	001001	001001	002002	005005	007009
PRBI178	585772.810524992	1130245.27389379	020020	002002	003006	004004	004009	002003	006013	021033	003003	004005	024027	001002	001001	001002	005005	000000
PRBI179	589522.343196511	1130752.42663953	020021	001001	006006	004004	006015	002005	001001	001021	002002	001006	021026	002002	001001	001002	006006	001009
PRBI180	589528.230931789	1130745.73288732	020020	002002	003006	004005	003009	001005	006013	001001	002002	002002	001018	002002	001012	001002	005006	0050010
PRBI181	585860.789138005	1130135.34990258	019020	001002	004007	004006	003009	001005	009009	001002	002002	002007	017018	001002	001012	002002	004005	007007
PRBI183	589487.520352713	1130727.83692542	019020	001002	003006	004005	003015	003005	006013	001029	002002	002002	017018	001002	001001	002002	005007	007007
PRBI184	589487.520352713	1130727.83692542	019020	001001	003003	004004	003006	002005	005006	001001	002003	002005	017025	002002	012012	002002	005006	007007
PRBI185	588167.658854382	1130482.18410776	020020	002002	006009	004005	003006	001003	006009	001002	002002	002002	024033	002002	001001	002002	004005	007009
PRBI186	588167.658854382	1130482.18410776	019020	000000	003009	004005	006006	002002	0020010	001001	002002	002005	000000	002002	001007	002002	005005	007007
PRBI188	588140.385446639	1130412.09161664	020021	002002	0030010	005005	002009	005009	001013	001002	002002	002002	001017	001001	001007	002002	005005	005007
PRBI189	588140.385446639	1130412.09161664	019020	001002	004007	004004	003016	002002	006013	001001	002002	001007	022033	001002	007007	002002	004005	005005
PRBI260	612549.859906169	1159480.50170149	020020	001002	006009	004005	009021	002002	0090010	002002	002004	002006	021034	002002	007007	001002	005005	005007
PRBI261	612549.859906169	1159480.50170149	020020	001001	003006	004004	003003	002005	013013	001023	002002	002002	001022	001002	001007	002002	005007	007009
PRBI262	612575.075772793	1159574.4108581	019020	001002	003006	004005	003015	002005	006009	001001	002004	004005	001022	002002	008012	001002	004005	009009
PRBI263	612575.075772793	1159574.4108581	020020	001002	003006	004005	002006	002005	001002	001001	002004	001002	018021	001002	001012	002002	004007	0070010
PRBI465	610532.389491515	1190172.79064369	020020	001001	003009	004005	003006	005007	009009	001001	002002	005005	001001	002002	007007	002002	007007	005009
PRBI466	610532.389491515	1190172.79064369	020020	001002	006006	004004	003015	001002	001006	001035	002005	002006	001022	001002	001001	002002	004004	000000
PRBI510	612861.079106329	1209985.71438617	019020	001001	003006	004005	003006	002005	001001	001027	002002	005005	001027	002002	001012	002002	005005	0070010
PRBI1	636811.405307376	1130924.79755875	019019	001001	006006	004004	005005	001003	006007	001034	002002	005006	021022	001002	007012	002002	006006	005005
PRBI10	636823.053063521	1130909.82765134	020020	001001	005009	004004	006018	001003	006006	001021	002004	002002	017024	001002	001001	002002	005005	009009
PRBI11	636823.053063521	1130909.82765134	019019	001002	0060010	004005	009015	001005	001007	001001	002002	002002	015017	001001	007007	002002	005005	009009
PRBI12	636821.413952111	1130908.7806384	019020	002002	004006	005005	003009	002002	006006	001001	003004	002005	001030	002002	001012	002002	004006	007007
PRBI13	636796.087035541	1130894.69939	020020	001002	003005	004004	001009	003003	006006	001001	002003	002005	017018	001002	007012	002002	005005	005009
PRBI14	636796.087035541	1130894.69939	020021	001001	006006	004004	007020	001002	006006	002021	002002	002005	021021	002002	001012	001002	006007	005005
PRBI15	636790.244372011	1130898.54857941	020020	001002	003009	004005	003007	001002	006009	021021	002004	002005	018021	001001	007007	002002	004005	007009
PRBI16	636794.192924044	1130905.75784183	020020	002002	005006	004004	003021	002002	006009	033033	002004	002004	001025	002002	001007	002002	005005	005009
PRBI17	636795.379153337	1130919.09202671	019021	001002	006006	004005	003015	000000	001001	001002	002002	004005	001017	001002	001012	002002	004006	005007
PRBI18	636798.577288302	1130922.06604843	019020	001002	0030010	004005	009021	002005	006009	021033	002002	002005	001026	002002	012012	002002	005005	007007
PRBI19	636817.943005088	1130950.80081665	019020	001002	006006	004004	003021	005009	006007	027032	002005	001002	001022	002002	012012	002002	005006	003007
PRBI2	636811.405307376	1130924.79755875	019020	001001	006006	004005	003018	002003	0060010	001031	002004	002004	022032	002002	001007	002002	006006	009009
PRBI20	636803.713531488	1130911.10641027	019019	001001	006009	004004	003006	002005	006011	001002	002002	002004	017020	001002	001007	002002	005007	0070010
PRBI3	636811.405307376	1130924.79755875	020020	001001	000000	004004	001009	001002	0050010	021031	002002	002002	001021	001002	012012	002002	005005	005007
PRBI4	636811.405307376	1130924.79755875	020020	001002	005005	004004	006009	001003	006009	001023	002002	002009	017020	001002	007007	002002	004004	005007
PRBI5	636811.405307376	1130924.79755875	020021	001001	003007	004004	006009	001001	002009	001001	002002	002007	025032	002002	007012	002002	005006	0090010
PRBI6	636811.405307376	1130924.79755875	019021	002002	003003	004004	007009	002009	006006	001001	002004	002007	001021	001002	001012	002002	005005	0090010
PRBI7	636648.842624828	1130975.51279175	019020	001001	003003	004004	005015	001005	006009	001032	002002	002005	022033	002002	001001	002002	004005	005009
PRBI8	636648.842624828	1130975.51279175	019020	001001	004006	004005	005015	002005	002006	001001	002003	002002	015018	002002	001001	002002	005005	007009
PRBI9	636851.335579043	1130955.55728369	019020	001002	003003	004004	003009	002003	001013	001001	002002	002006	001020	001002	007012	002002	005005	005007
PRBI22	629001.440037787	1125160.96451573	019019	001002	003006	004005	003007	002005	009011	002021	002004	002007	001022	002002	001001	001002	004006	007009
PRBI23	629005.426815698	1125164.30438315	019020	002002	0030010	004004	009015	001001	0010013	021025	002002	002004	001015	001001	001007	002002	004005	005009
PRBI24	629005.426815698	1125164.30438315	019020	001002	003009	004005	006015	002003	006006	001002	002002	002005	017020	002002	001007	001002	005005	0090010
PRBI25	629008.749131028	1125166.58461437	019020	002002	006009	005005	009014	003005	006009	001002	004004	002002	001029	002002	001007	002002	004007	003005
PRBI26	629006.656987496	1125169.48106181	020020	001001	005009	004004	005009	002005	001006	001001	002002	002005	001017	001002	007012	002002	004005	005009
PRBI29	629011.582188009	1125173.86276191	019020	001002	004005	004004	003003	005005	001006	001035	002003	005005	017021	002002	001012	002002	004007	009009
PRBI30	629014.317731103	1125174.80827453	019020	001001	005009	004004	016021	001005	0060010	001001	002002	002005	018024	001002	007012	002002	005005	0090010
PRBI31	629014.317731103	1125174.80827453	019020	001002	006006	004005	003021	001002	001001	001032	002004	006006	001024	002002	001007	002002	005005	007009
PRBI32	629018.904810434	1125175.75719536	020021	001002	003006	004005	001005	002005	006013	001001	002002	002004	021022	001002	001001	001002	004005	009009
PRBI33	629026.19133166	1125181.55747512	020020	002002	003006	004005	015021	002005	006007	001021	002004	002006	016016	001002	001007	002002	005005	005009
PRBI34	629047.520777814	1125182.02755335	020020	001002	005009	005005	003006	005005	001009	001001	002002	005006	017022	002002	001007	002002	005005	005009
PRBI35	629048.907465492	1125186.34000307	020021	002002	003007	000000	006009	002003	001006	001001	002002	002002	024027	002002	003012	002002	005006	007009
PRBI36	629050.148543057	1125188.5131475	019020	001002	003009	004005	016021	002003	001006	001002	002004	002002	001022	002002	007007	002002	004005	003007
PRBI37	629050.148543057	1125188.5131475	019020	002002	003006	004005	003003	002005	006006	001031	002002	002005	018018	001002	001012	001002	005005	007009
PRBI40	629055.860509509	1125187.42912544	019020	001002	003006	004005	003007	003005	006006	001034	002004	002005	001026	001002	001012	002002	004004	007007
PRBI41	629055.860509509	1125187.42912544	019019	001002	003003	004005	011021	001001	013013	001021	004004	002002	015022	001002	001007	002002	005007	005007
PRBI42	629060.600778502	1125188.43058507	019020	002002	005009	004004	001003	001005	001006	001034	002004	002005	022032	001002	001012	002002	004005	005009
PRBI43	629060.600778502	1125188.43058507	020020	001001	003009	004004	009009	005005	006006	001001	002002	005005	017021	001002	012012	002002	005005	005009
PRBI44	629065.351820992	1125186.46721399	020020	002002	004006	004005	009015	005005	006013	001001	002002	002002	017018	002002	001007	002002	004005	009009
PRBI45	629065.351820992	1125186.46721399	020020	001001	006006	004004	001009	001001	001006	002002	002002	002002	001020	001002	003007	001002	004005	005007
PRBI46	629067.527807485	1125190.64872115	019019	002002	003006	004005	003016	001003	001006	001002	002002	005006	001022	001002	001012	002002	005005	007009
PRBI323	721933.772385613	1108020.29447622	019020	001002	003009	004004	007021	002002	001006	002021	002004	005006	018021	001002	001007	001002	004004	003005
PRBI324	721933.772385613	1108020.29447622	020020	002002	003005	004005	001015	005005	00100010	001021	002003	002007	018021	001001	001007	002002	005007	007009
PRBI325	721956.050708311	1107972.85148326	019020	001002	005005	004004	020021	002002	009009	001002	002005	002006	017021	002002	001007	002002	005005	000000
PRBI326	721935.32381765	1107973.07804561	019019	001002	002006	005005	003006	002002	006013	001001	002002	002005	001022	001002	012012	001002	005005	009009
PRBI327	721935.32381765	1107973.07804561	020021	002002	006006	004004	003006	001002	001006	001031	002002	002005	021022	001002	007007	002002	006006	007009
PRBI328	721940.466795248	1107980.21342665	020020	001002	003003	005005	009016	002002	0010013	001001	002002	002002	001024	001002	007012	002002	004005	0090010
PRBI329	721940.466795248	1107980.21342665	020020	001002	0090010	004004	003009	002005	002013	001021	002004	002005	017018	001002	001007	002002	004006	007009
PRBI330	721940.449406215	1107983.041103	020021	001002	003006	004005	003021	002005	006009	001021	002002	000000	015025	001001	001007	002002	004005	005009
PRBI331	721961.033911779	1107948.90792423	020020	001001	003006	004004	003005	002003	009013	001002	002002	002002	001017	002002	007012	002002	004004	005005
PRBI332	721994.015915997	1107892.40352919	020020	001002	006006	004005	001015	002005	001006	001021	002004	002004	001017	001001	001007	002002	007007	005009
PRBI333	721998.973008466	1107885.18975782	020020	001002	003006	004005	003009	005005	001006	001021	002004	002002	001018	002002	001007	002002	005006	009009
PRBI334	722001.073877211	1107882.36936385	019019	001002	003006	004005	021021	002003	007014	001001	002002	002002	017024	002002	001001	001002	005007	005007
PRBI335	722003.988659072	1107877.3700771	020020	001002	002003	004004	003006	002002	011013	001032	002004	005006	017018	002002	007007	002002	005005	007009
PRBI336	722003.988659072	1107877.3700771	019020	001002	003003	004005	000000	002003	006006	001001	002003	002005	025037	001001	001003	001002	005007	005009
PRBI337	721988.095545238	1107885.07417731	020020	000000	003003	004005	001009	001007	002013	001021	002004	005005	021033	001001	001007	002002	004006	000000
PRBI338	721991.135939055	1107888.17843619	020020	001002	003005	004004	001019	001002	0060010	001002	003004	002005	001017	001001	001007	002002	004005	005009
PRBI339	721995.855046657	1107857.25561731	019020	002002	006006	004004	006007	002005	0090010	021032	002002	002005	001017	001002	001007	002002	004005	009009
PRBI340	721995.855046657	1107857.25561731	019020	001002	003006	004004	006009	001002	009009	001002	002003	002002	018021	002002	001001	002002	005005	005007
PRBI341	722017.180144015	1107807.92157728	020020	001002	006009	004005	003003	002003	001013	002031	002002	002005	017018	001001	001007	002002	005005	003009
PRBI342	722023.941646907	1107821.12851573	019020	001002	003003	005005	003009	002002	006006	001023	002004	002006	017034	001002	001007	002002	004005	005009
PRBI363	681208.27496032	1166399.22856762	019020	002002	003006	004004	003007	002002	002013	001001	002002	002002	020036	001002	007007	002002	004005	005007
PRBI364	681208.27496032	1166399.22856762	020020	001002	006009	004004	003007	002009	001002	021021	002003	002005	018021	001001	001007	002002	005005	005009
END
