Sample File	Sample Name	Run Name	Panel	Marker	Dye	Allele 1	Allele 2	Size 1	Size 2	Height 1	Height 2	Peak Area 1	Peak Area 2	Data Point 1	Data Point 2	ADO	AE	OS	SHP	OBA	SPA	SP	BIN	PHR	LPH	SPU	AN	BD	XTLK	GQ	UD1	UD2	UD3
E01_APCL424.fsa	APCL424	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			276.41	287.65	2182	986	13547	5789	4648	4806	FALSE	FALSE	0	0	0	0	0	1	1	0	0	0	0	0	0.0694			
G02_APCL486.fsa	APCL486	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			263.6	267.24	6809	4851	37971	26498	4523	4574	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1388			
H01_APCL533.fsa	APCL533	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			284.55	289.68	1287	343	8007	2020	4862	4936	FALSE	FALSE	0	0	0	0	0	1	1	0	0	0	0	0	0.0694			
G01_APCL534.fsa	APCL534	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			269.29	270.13	6578	5740	41020	36577	4608	4620	FALSE	FALSE	0	0	1	0	0	1	0	0	0	0	0	0	0.0694			
F02_APCL95.fsa	APCL95	Pinsky_AG19_020509_2009-02-05	"NNG_013,NNG_028,ACH_A11,ACH_D1"	ACH_A11	Y			268.04	271.72	1371	1103	8358	6274	4514	4565	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1388			
A08_APCL102.fsa	APCL102	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
D07_APCL125.fsa	APCL125	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
F08_APCL136.fsa	APCL136	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
H07_APCL208.fsa	APCL208	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
G07_APCL217.fsa	APCL217	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
B07_APCL218.fsa	APCL218	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
C07_APCL267.fsa	APCL267	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	1	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
E07_APCL301.fsa	APCL301	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
H08_APCL314.fsa	APCL314	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
A07_APCL318.fsa	APCL318	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
F07_APCL349.fsa	APCL349	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
B08_APCL358.fsa	APCL358	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
G08_APCL360.fsa	APCL360	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
C08_APCL398.fsa	APCL398	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
E08_APCL427.fsa	APCL427	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	1	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
D08_APCL494.fsa	APCL494	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A3	Y											FALSE	FALSE	0	-2	-2	-2	-2	-2	-2	-2	-2	1	-2	-2	0			
B05_APCL108.fsa	APCL108	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			266.67		4819		51380		4448		FALSE	FALSE	0	0	0	0	0	1	-2	0	0	0	0	0	0.1388			
E06_APCL142.fsa	APCL142	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			268.32	270.09	3880	3175	23938	18045	4432	4456	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1542			
C06_APCL143.fsa	APCL143	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			266.78	273.27	5101	4306	30969	26095	4412	4500	FALSE	FALSE	0	0	0	1	0	1	0	0	0	0	0	0	0.0625			
H06_APCL219.fsa	APCL219	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			264.82	268.57	5171	4621	39434	36565	4488	4540	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1388			
F05_APCL270.fsa	APCL270	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			267.13		7633		78763		4434		FALSE	FALSE	0	0	0	0	0	1	-2	0	0	0	0	0	0.1388			
D05_APCL274.fsa	APCL274	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			239.24	241.9	94	510	828	2972	4051	4084	TRUE	FALSE	0	0	0	1	0	1	1	1	0	1	0	0	0			
A05_APCL292.fsa	APCL292	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			266.77	276.05	5596	4016	35245	25979	4461	4590	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1388			
B06_APCL296.fsa	APCL296	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			262.06	266.76	1349	15168	7481	95857	4379	4443	FALSE	FALSE	0	0	0	1	0	1	1	0	0	0	0	0	0.0078			
A06_APCL309.fsa	APCL309	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			263.77	265.74	9387	8168	53786	45195	4411	4438	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1388			
D06_APCL355.fsa	APCL355	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			268.31		1890		12206		4423		FALSE	FALSE	0	0	0	0	0	1	-2	0	0	0	0	0	0.1542			
C05_APCL385.fsa	APCL385	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			263.99	270.44	7403	5723	45214	35755	4384	4473	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1388			
E05_APCL424.fsa	APCL424	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			267.78		7700		79521		4438		FALSE	FALSE	0	0	0	0	0	1	-2	0	0	0	0	0	0.1388			
G06_APCL486.fsa	APCL486	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			268.67	269.62	7737	7534	50628	61623	4492	4505	FALSE	FALSE	0	0	1	1	0	1	0	0	0	0	0	0	0.0312			
H05_APCL533.fsa	APCL533	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			268.92		6126		59094		4565		FALSE	FALSE	0	0	0	0	0	1	-2	0	0	0	0	0	0.1388			
G05_APCL534.fsa	APCL534	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			267.89	268.82	10790	10244	66740	66836	4493	4506	FALSE	FALSE	0	0	1	0	0	1	0	0	0	0	0	0	0.0694			
F06_APCL95.fsa	APCL95	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_A7	B			264.67	268.5	3565	3222	22370	19864	4387	4439	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1388			
A08_APCL102.fsa	APCL102	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			263.68	270.9	624	7392	3238	42926	4413	4512	TRUE	FALSE	0	0	0	1	0	1	1	0	0	1	0	0	0			
D07_APCL125.fsa	APCL125	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			272.86	279.24	5867	3003	37492	19670	4511	4599	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1249			
F08_APCL136.fsa	APCL136	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			263.61	272.62	287	3402	1459	22209	4393	4516	TRUE	FALSE	0	0	0	1	0	1	1	0	0	1	0	0	0			
H07_APCL208.fsa	APCL208	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			275.86	281.22	1685	4330	9812	30463	4663	4739	FALSE	FALSE	0	0	0	0	0	1	1	0	0	0	0	0	0.0625			
G07_APCL217.fsa	APCL217	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			273.9	281.11	4146	3194	27881	19240	4578	4679	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.0625			
B07_APCL218.fsa	APCL218	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			263.85	271.08	397	1864	1883	10218	4401	4501	TRUE	FALSE	0	0	0	1	0	1	1	0	0	1	0	0	0			
C07_APCL267.fsa	APCL267	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			272.79	278.21	8009	3101	49881	20609	4541	4616	FALSE	FALSE	1	0	0	0	0	1	1	0	0	0	0	0	0.0312			
E07_APCL301.fsa	APCL301	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			272.9	278.32	8435	5827	53325	40099	4615	4692	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1249			
H08_APCL314.fsa	APCL314	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			270.99	272.79	4273	3631	23177	19892	4576	4601	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1249			
A07_APCL318.fsa	APCL318	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			273.94	281.09	2531	1890	16451	11844	4565	4665	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1388			
F07_APCL349.fsa	APCL349	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			263.92	272.08	276	2397	1264	13507	4410	4523	TRUE	FALSE	0	0	0	0	0	1	1	0	0	1	0	0	0			
B08_APCL358.fsa	APCL358	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			272.69	282.66	1915	2054	12287	11617	4508	4644	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1249			
G08_APCL360.fsa	APCL360	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			273.58	279.04	2654	2127	17693	13889	4553	4628	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0.1249			
C08_APCL398.fsa	APCL398	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			263.52	270.81	343	3330	1715	19267	4391	4490	TRUE	FALSE	0	0	0	1	0	1	1	0	0	1	0	0	0			
E08_APCL427.fsa	APCL427	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			263.48	272.64	799	4614	3878	26117	4371	4495	TRUE	FALSE	1	0	0	1	0	1	1	0	0	1	0	0	0			
D08_APCL494.fsa	APCL494	Pinsky_AG19_020509_2009-02-05	"NNG_004,NNG_007,ACH_A3,ACH_A8"	ACH_A8	R			273.52	280.23	6348	2768	43478	18331	4500	4591	FALSE	FALSE	0	0	0	0	0	1	1	0	0	0	0	0	0.0694			
B05_APCL108.fsa	APCL108	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			95.73	96.81	493	997	2630	6390	2307	2320	TRUE	FALSE	0	-2	-2	-2	-2	1	1	0	1	1	0	0	0			
E06_APCL142.fsa	APCL142	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			178.45	182.57	1713	1577	9544	8807	3299	3351	FALSE	FALSE	0	-2	-2	-2	-2	1	0	0	0	0	0	0	0.2			
C06_APCL143.fsa	APCL143	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			95.46	178.53	2372	643	4777	3803	2287	3300	FALSE	FALSE	1	-2	-2	-2	-2	1	1	0	0	0	0	0	0.045			
H06_APCL219.fsa	APCL219	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			95.85	96.93	393	841	2092	6052	2358	2371	TRUE	FALSE	0	-2	-2	-2	-2	1	1	0	0	1	0	0	0			
F05_APCL270.fsa	APCL270	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			95.63	166.47	7030	2314	14947	12709	2289	3155	FALSE	FALSE	1	-2	-2	-2	-2	1	1	0	0	0	0	0	0.045			
D05_APCL274.fsa	APCL274	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			178.67		8194		47100		3299		FALSE	FALSE	0	-2	-2	-2	-2	1	-2	0	0	0	0	0	0.18			
A05_APCL292.fsa	APCL292	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			174.66	178.72	1631	1516	9263	8594	3285	3337	FALSE	FALSE	0	-2	-2	-2	-2	1	0	0	0	0	0	0	0.18			
B06_APCL296.fsa	APCL296	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			91.23	174.41	4131	3607	8183	20511	2259	3275	TRUE	FALSE	1	-2	-2	-2	-2	1	0	0	0	1	0	0	0			
A06_APCL309.fsa	APCL309	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			166.32	170.42	3985	3381	22342	19060	3178	3230	FALSE	FALSE	0	-2	-2	-2	-2	1	0	0	0	0	0	0	0.18			
D06_APCL355.fsa	APCL355	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			170.31	174.45	1449	1108	8307	6223	3190	3242	FALSE	FALSE	0	-2	-2	-2	-2	1	0	0	0	0	0	0	0.2			
C05_APCL385.fsa	APCL385	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			170.5		5177		29837		3201		FALSE	FALSE	0	-2	-2	-2	-2	1	-2	0	0	0	0	0	0.18			
E05_APCL424.fsa	APCL424	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			166.5		5546		30495		3152		FALSE	FALSE	0	-2	-2	-2	-2	1	-2	0	0	0	0	0	0.18			
G06_APCL486.fsa	APCL486	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			92.17	112.94	595	492	3261	2718	2280	2539	TRUE	FALSE	0	-2	-2	-2	-2	1	1	0	0	1	0	0	0			
H05_APCL533.fsa	APCL533	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			111.96	112.98	333	822	1431	5582	2567	2580	TRUE	FALSE	0	-2	-2	-2	-2	1	1	0	1	1	0	0	0			
G05_APCL534.fsa	APCL534	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			166.51	178.69	3302	2658	18820	15164	3194	3350	FALSE	FALSE	0	-2	-2	-2	-2	1	0	0	0	0	0	0	0.18			
F06_APCL95.fsa	APCL95	Pinsky_AG19_020509_2009-02-05	"APR_Cf8,ACH_A7,ACH_C1,ACH_B6"	ACH_B6	Y			166.3	174.49	1645	1419	9382	7793	3148	3251	FALSE	FALSE	0	-2	-2	-2	-2	1	0	0	0	0	0	0	0.18			
B03_APCL108.fsa	APCL108	Pinsky_AG19_020509_2009-02-05	"APR_Cf42,NNG_025,ACH_D8,ACH_B9"	ACH_B9	B			345.35	349.19	2209	1739	16132	12700	5472	5524	FALSE	FALSE	0	0	0	1	0	1	0	0	0	0	0	0	0.0625			
E04_APCL142.fsa	APCL142	Pinsky_AG19_020509_2009-02-05	"APR_Cf42,NNG_025,ACH_D8,ACH_B9"	ACH_B9	B			281.88	299.56	2683	2624	17339	17072	4657	4899	FALSE	FALSE	0	0	0	1	0	1	0	0	0	0	0	0	0.0625			
C04_APCL143.fsa	APCL143	Pinsky_AG19_020509_2009-02-05	"APR_Cf42,NNG_025,ACH_D8,ACH_B9"	ACH_B9	B			328.95	345.05	3186	2824	21816	19901	5264	5470	FALSE	FALSE	0	0	0	1	0	1	0	0	0	0	0	0	0.0625			
H04_APCL219.fsa	APCL219	Pinsky_AG19_020509_2009-02-05	"APR_Cf42,NNG_025,ACH_D8,ACH_B9"	ACH_B9	B			341.28	345.31	2412	2066	17547	15278	5517	5571	FALSE	FALSE	0	0	0	1	0	1	0	0	0	0	0	0	0.0625			
F03_APCL270.fsa	APCL270	Pinsky_AG19_020509_2009-02-05	"APR_Cf42,NNG_025,ACH_D8,ACH_B9"	ACH_B9	B			292.18	295.91	531	2434	5455	24831	4815	4867	TRUE	FALSE	0	0	0	1	0	1	1	0	0	1	0	0	0			
D03_APCL274.fsa	APCL274	Pinsky_AG19_020509_2009-02-05	"APR_Cf42,NNG_025,ACH_D8,ACH_B9"	ACH_B9	B			264.3	267.19	6016	4425	37443	27779	4417	4457	TRUE	FALSE	1	0	0	1	0	1	1	0	0	1	0	0	0			
A03_APCL292.fsa	APCL292	Pinsky_AG19_020509_2009-02-05	"APR_Cf42,NNG_025,ACH_D8,ACH_B9"	ACH_B9	B			270.88	341.55	4934	2350	31265	16760	4534	5473	FALSE	FALSE	0	0	0	1	0	1	1	0	0	0	0	0	0.0312			
B04_APCL296.fsa	APCL296	Pinsky_AG19_020509_2009-02-05	"APR_Cf42,NNG_025,ACH_D8,ACH_B9"	ACH_B9	B			308.56	312.57	1024	4853	7022	32730	4990	5041	FALSE	FALSE	1	0	0	1	0	1	1	0	0	0	0	0	0.0156			
