,SurveyNum,Time,Spp,Size,ID,Notes,lat,long
1580,57,13:20,APCL,8,317,,9.962228977,125.223711
15773,57,13:02,APCL,6,318,,9.962226944,125.2236916
1582,57,13:40,APCL,10,319,,9.962166573,125.223654
15821,57,13:40,APCL,10,320,,9.962166573,125.223654
1586,57,14:02,APCL,8,321,,9.962428235,125.2238611
1587,57,14:09,APCL,8,322,,9.962527624,125.2240028
1604,58,9:27,PRBI,10,323,On a small shelf on a wall!,10.01741511,125.0247354
16041,58,9:27,PRBI,4,324,On a small shelf on a wall!,10.01741511,125.0247354
1608,58,9:59,PRBI,10,325,,10.01698504,125.0249359
1615,58,10:50,PRBI,12,326,,10.01698824,125.0247469
16151,58,10:50,PRBI,6,327,,10.01698824,125.0247469
1628,58,11:05,PRBI,6,328,,10.01705245,125.0247942
16281,58,11:05,PRBI,13,329,,10.01705245,125.0247942
1639,58,11:22,PRBI,8,330,,10.01707801,125.0247942
1640,58,11:28,PRBI,12,331,,10.01676834,125.02498
1641,58,11:40,PRBI,13,332,,10.01625577,125.0252776
1642,58,11:51,PRBI,9,333,,10.01619029,125.0253224
1644,58,13:17,PRBI,3,334,,10.01616468,125.0253414
1645,58,13:23,PRBI,4,335,,10.01611933,125.0253677
16451,58,13:23,PRBI,9,336,,10.01611933,125.0253677
1647,58,13:57,PRBI,12,337,,10.01618985,125.0252232
1648,58,13:58,PRBI,8,338,,10.01621774,125.0252511
1651,58,14:26,PRBI,7,339,,10.01593797,125.0252924
16511,58,14:26,PRBI,13,340,,10.01593797,125.0252924
1652,58,15:08,PRBI,8,341,,10.01549086,125.0254841
1653,58,15:12,PRBI,11,342,,10.01560986,125.0255465
2062,60,8:58,APCL,10,343,,10.53992839,124.6387161
2065,60,9:06,APCL,11,344,,10.54031675,124.6382605
20651,60,9:06,APCL,12,345,,10.54031675,124.6382605
2066,60,9:07,APCL,11,346,,10.54037959,124.6382342
20661,60,9:07,APCL,10,347,,10.54037959,124.6382342
2068,60,9:32,APCL,8,348,,10.5403661,124.6378422
20681,60,9:32,APCL,6,349,,10.5403661,124.6378422
2069,60,9:37,APCL,8,350,,10.54035264,124.6378333
20691,60,9:37,APCL,12,351,,10.54035264,124.6378333
20692,60,9:37,APCL,5,352,,10.54035264,124.6378333
2074,60,9:55,APCL,7,353,,10.54046157,124.6377821
2070,60,9:38,APCL,12,354,,10.54044141,124.6377668
20701,60,9:38,APCL,13,355,,10.54044141,124.6377668
20761,60,10:15,APCL,4,356,,10.54022685,124.6380203
20762,60,10:15,APCL,11,357,,10.54022685,124.6380203
2076,60,10:15,APCL,8,358,,10.54022685,124.6380203
2079,60,10:38,APCL,9,359,,10.53931865,124.6395728
20791,60,10:38,APCL,9,360,,10.53931865,124.6395728
2082,60,10:47,APCL,7,361,,10.53920625,124.6394869
2083,60,11:01,APCL,4,362,,10.53874849,124.6403327
2085,61,11:44,PRBI,14,363,,10.54725344,124.6560577
20851,61,11:44,PRBI,8,364,,10.54725344,124.6560577
2130,63,16:04,APCL,12,365,,10.53092418,124.7519108
21301,63,16:04,APCL,10,366,,10.53092418,124.7519108
2132,63,16:10,APCL,8,367,,10.53095795,124.7520643
21321,63,16:10,APCL,9,368,,10.53095795,124.7520643
21322,63,16:10,APCL,10,369,,10.53095795,124.7520643
2133,63,16:18,APCL,9,370,,10.53085282,124.7521499
21331,63,16:18,APCL,7,371,,10.53085282,124.7521499
21332,63,16:18,APCL,5,372,,10.53085282,124.7521499
2135,63,16:49,APCL,12,373,,10.53308258,124.7527804
21351,63,16:49,APCL,11,374,,10.53308258,124.7527804
2137,63,16:59,APCL,8,375,,10.53323044,124.752947
21371,63,16:59,APCL,5,376,,10.53323044,124.752947
2138,63,17:00,APCL,11,377,,10.53322844,124.7529715
21381,63,17:00,APCL,10,378,,10.53322844,124.7529715
2142,64,9:29,APCL,9,379,,10.85530733,124.7269424
2144,64,9:34,APCL,7,380,,10.85519979,124.7267864
2154,64,9:42,APCL,9,381,,10.85566542,124.7268983
2156,64,9:52,APCL,10,382,,10.85598356,124.7263675
21561,64,9:52,APCL,9,383,,10.85598356,124.7263675
21562,64,9:52,APCL,3,384,,10.85598356,124.7263675
2160,66,11:44,APCL,7,385,,10.87289776,124.7118147
2163,66,11:50,APCL,6,386,,10.87282748,124.7117044
2165,66,12:07,APCL,5,387,,10.87362964,124.7117
21651,66,12:07,APCL,7,388,,10.87362964,124.7117
2167,66,12:24,APCL,6,389,,10.87352927,124.7121423
2168,66,12:30,APCL,11,390,,10.87337957,124.7121776
21681,66,12:30,APCL,11,391,,10.87337957,124.7121776
2173,66,12:38,APCL,6,392,,10.87327855,124.7121438
2175,66,12:41,APCL,5,393,,10.8731266,124.7121533
2178,66,12:57,APCL,10,394,,10.87291509,124.7121188
21781,66,12:57,APCL,11,395,,10.87291509,124.7121188
2180,66,12:57,APCL,5,396,,10.87291509,124.7121188
2188,66,13:17,APCL,11,397,,10.87304176,124.7122085
2187,66,13:14,APCL,11,398,,10.87311487,124.7122623
2228,68,9:54,APCL,9,399,,10.64131589,124.7786885
2231,68,10:05,APCL,6,400,,10.6416404,124.7781182
2233,68,10:08,APCL,4,401,,10.6417637,124.7778811
2237,69,10:35,APCL,12,402,,10.74341604,124.7866797
22371,69,10:35,APCL,10,403,,10.74341604,124.7866797
2239,69,10:42,APCL,3,404,,10.74363722,124.7864826
2241,69,10:49,APCL,8,405,,10.74374581,124.7864271
2240,69,10:49,APCL,12,406,,10.74374581,124.7864271
22401,69,10:49,APCL,11,407,,10.74374581,124.7864271
22402,69,10:49,APCL,10,408,,10.74374581,124.7864271
22403,69,10:49,APCL,4,409,,10.74374581,124.7864271
2242,69,11:02,APCL,9,410,,10.74378189,124.7863166
2243,69,11:05,APCL,13,411,,10.74388327,124.7863005
22431,69,11:05,APCL,4,412,,10.74388327,124.7863005
22432,69,11:05,APCL,10,413,,10.74388327,124.7863005
2245,69,11:21,APCL,10,414,,10.74463186,124.786136
2246,69,11:21,APCL,10,416,,10.74463186,124.786136
22451,69,11:21,APCL,4,417,,10.74463186,124.786136
2247,69,11:33,APCL,9,418,,10.74477257,124.786004
2253,73,11:26,APCL,12,419,,11.04136932,124.3687451
22531,73,11:26,APCL,12,420,,11.04136932,124.3687451
2254,73,11:33,APCL,9,421,,11.0414449,124.3689021
22541,73,11:33,APCL,12,422,,11.0414449,124.3689021
2255,73,11:38,APCL,10,423,,11.04161279,124.3690207
22551,73,11:38,APCL,11,424,,11.04161279,124.3690207
2256,73,11:43,APCL,11,425,,11.04167413,124.3691435
22561,73,11:43,APCL,10,426,,11.04167413,124.3691435
2261,73,11:53,APCL,11,427,,11.04215843,124.3689012
2267,73,12:20,APCL,9,428,,11.04269014,124.3674749
22671,73,12:20,APCL,8,429,,11.04269014,124.3674749
2269,73,12:26,APCL,6,430,,11.0428737,124.3673151
2270,73,12:28,APCL,5,431,,11.04293726,124.3673664
22712,73,12:31,APCL,10,432,,11.04294009,124.3673823
22713,73,12:31,APCL,10,433,,11.04294009,124.3673823
2271,73,12:31,APCL,9,434,,11.04294009,124.3673823
22711,73,12:31,APCL,6,435,,11.04294009,124.3673823
2273,74,13:48,APCL,11,436,,11.04390807,124.3674224
22732,74,13:48,APCL,8,437,,11.04390807,124.3674224
22731,74,13:48,APCL,10,438,,11.04390807,124.3674224
2463,79,9:56,APCL,5,445,,10.9552851,124.6494013
2465,79,10:02,APCL,9,446,,10.95527841,124.6493702
24651,79,10:02,APCL,10,447,,10.95527841,124.6493702
2471,79,10:15,APCL,6,448,,10.95530846,124.6493743
2474,79,10:19,APCL,6,449,,10.95530362,124.6493289
24741,79,10:19,APCL,3,450,,10.95530362,124.6493289
2475,79,10:20,APCL,9,451,,10.95529729,124.6493062
2473,79,10:18,APCL,10,452,,10.95530438,124.6493585
24731,79,10:18,APCL,10,453,,10.95530438,124.6493585
2480,79,10:44,APCL,6,454,,10.95555349,124.6489844
2495,79,10:50,APCL,11,455,,10.95565436,124.6488972
24951,79,10:50,APCL,8,456,,10.95565436,124.6488972
2482,79,10:59,APCL,4,457,Anemone also had an APCL 10 already sampled!,10.95562964,124.6488645
2497,79,11:03,APCL,11,458,,10.95565321,124.6488187
24971,79,11:03,APCL,12,459,,10.95565321,124.6488187
2486,79,10:12,APCL,8,460,,10.95525266,124.6493755
24861,79,10:12,APCL,11,461,,10.95525266,124.6493755
