Sample File	Sample Name	Panel	Marker	Dye	Allele 1	Allele 2	Size 1	Size 2	Height 1	Height 2	Peak Area 1	Peak Area 2	Data Point 1	Data Point 2	ADO	AE	OS	SHP	OBA	SPA	SP	BIN	PHR	LPH	SPU	AN	BD	XTLK	GQ	UD1	UD2	UD3	
F04_APCL104.fsa	APCL104	Msat53	NNG_012	R	111	115	110.99	115.26	8116	6041	50925.0	36899.0	2472	2525	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
F04_APCL104.fsa	APCL104	Msat53	APR_Cf29	R	212	216	212.21	215.99	2194	2058	13450.0	12154.0	3722	3771	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
F04_APCL104.fsa	APCL104	Msat53	AC1359	B	241	246	240.37	246.15	8879	6490	53239.0	38891.0	4087	4162	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
F04_APCL104.fsa	APCL104	Msat53	APY_65	G	250	256	249.61	255.85	24783	19627	160466.0	125931.0	4207	4288	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
B10_APCL105.fsa	APCL105	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
B10_APCL105.fsa	APCL105	Msat53	NNG_012	R	111	115	111.0	115.29	3991	2718	25633.0	17028.0	2520	2574	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
B10_APCL105.fsa	APCL105	Msat53	APR_Cf29	R	210	229	210.37	229.34	2403	1810	15784.0	11526.0	3764	4013	false	false	0.0	-2.0	-2.0	-2.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81				
B10_APCL105.fsa	APCL105	Msat53	AC1359	B	241		240.37		8374		53787.0		4158		false	false	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.7889				
C06_APCL106.fsa	APCL106	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
C06_APCL106.fsa	APCL106	Msat53	NNG_012	R	111	115	110.98	115.22	3977	2648	24446.0	16329.0	2487	2540	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
C06_APCL106.fsa	APCL106	Msat53	APR_Cf29	R	210		210.31		7892		50584.0		3719		false	false	0.0	-2.0	-2.0	-2.0	-2.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.81				
C06_APCL106.fsa	APCL106	Msat53	AC1359	B	246	250	246.11	249.95	5114	3849	30284.0	22529.0	4185	4235	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
B12_APCL107.fsa	APCL107	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
B12_APCL107.fsa	APCL107	Msat53	NNG_012	R	111	115	110.99	115.16	14457	9489	94299.0	57381.0	2565	2618	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
B12_APCL107.fsa	APCL107	Msat53	APR_Cf29	R	220	229	219.86	229.36	3329	2776	21664.0	18115.0	3945	4071	false	false	0.0	-2.0	-2.0	-2.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81				
B12_APCL107.fsa	APCL107	Msat53	AC1359	B	241	242	240.44	242.33	9239	7729	55089.0	46240.0	4218	4243	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
B01_APCL108.fsa	APCL108	Msat53	NNG_012	R											false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
B01_APCL108.fsa	APCL108	Msat53	APR_Cf29	R	212	229	212.09	229.36	1238	1303	7606.0	8473.0	3763	3989	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
B01_APCL108.fsa	APCL108	Msat53	AC1359	B	242		242.34		9899		61724.0		4159		false	false	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.7889				
B01_APCL108.fsa	APCL108	Msat53	APY_65	G	250		249.59		7324		47091.0		4254		false	false	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.7889				
F05_APCL111.fsa	APCL111	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
F05_APCL111.fsa	APCL111	Msat53	NNG_012	R	115		115.24		4323		27458.0		2495		false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
F05_APCL111.fsa	APCL111	Msat53	APR_Cf29	R	216	218	216.06	217.99	2859	2273	17703.0	13894.0	3743	3768	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
F05_APCL111.fsa	APCL111	Msat53	AC1359	B	241	244	240.41	244.19	4507	5247	27530.0	31997.0	4059	4108	false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
G11_APCL124.fsa	APCL124	Msat53	NNG_012	R											false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
G11_APCL124.fsa	APCL124	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
G11_APCL124.fsa	APCL124	Msat53	APR_Cf29	R	210		210.41		1193		7975.0		3816		false	false	0.0	-2.0	-2.0	-2.0	-2.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.81				
G11_APCL124.fsa	APCL124	Msat53	AC1359	B	241	244	240.32	244.16	2020	2573	12571.0	15788.0	4213	4264	false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
D03_APCL125.fsa	APCL125	Msat53	NNG_012	R											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
D03_APCL125.fsa	APCL125	Msat53	APR_Cf29	R	210		210.39		2446		15651.0		3719		false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
D03_APCL125.fsa	APCL125	Msat53	AC1359	B	241		240.45		9020		55415.0		4110		false	false	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.7889				
D03_APCL125.fsa	APCL125	Msat53	APY_65	G	256		255.87		27130		175442.0		4311		false	false	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.7889				
H02_APCL126.fsa	APCL126	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
H02_APCL126.fsa	APCL126	Msat53	NNG_012	R	111	115	111.11	115.37	9564	6524	63373.0	41522.0	2606	2661	false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
H02_APCL126.fsa	APCL126	Msat53	APR_Cf29	R	214	216	214.06	216.0	376	845	2330.0	5315.0	3926	3952	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
H02_APCL126.fsa	APCL126	Msat53	AC1359	B	241	242	240.52	242.37	5530	4190	34000.0	25120.0	4282	4307	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
G04_APCL127.fsa	APCL127	Msat53	NNG_012	R	115		115.18		3376		22117.0		2530		false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
G04_APCL127.fsa	APCL127	Msat53	APR_Cf29	R	210	229	210.41	229.43	2938	2050	18802.0	13267.0	3707	3954	false	false	0.0	-2.0	-2.0	-2.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81				
G04_APCL127.fsa	APCL127	Msat53	AC1359	B	241		240.51		12774		77730.0		4098		false	false	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.7889				
G04_APCL127.fsa	APCL127	Msat53	APY_65	G	250	254	249.66	253.89	19809	15008	127781.0	96374.0	4217	4272	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
H04_APCL128.fsa	APCL128	Msat53	NNG_012	R	115	117	115.22	117.21	563	470	3811.0	2628.0	2573	2598	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
H04_APCL128.fsa	APCL128	Msat53	APR_Cf29	R	210	229	210.43	229.44	3283	2119	20673.0	13668.0	3764	4014	false	false	0.0	-2.0	-2.0	-2.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81				
H04_APCL128.fsa	APCL128	Msat53	AC1359	B	242	250	242.43	250.02	5972	3949	36617.0	24157.0	4185	4285	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
H04_APCL128.fsa	APCL128	Msat53	APY_65	G	250	254	249.64	253.81	15957	14279	104922.0	92434.0	4280	4335	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
C10_APCL129.fsa	APCL129	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
C10_APCL129.fsa	APCL129	Msat53	APR_Cf29	R											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
C10_APCL129.fsa	APCL129	Msat53	NNG_012	R	115		115.19		6992		46571.0		2550		false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
C10_APCL129.fsa	APCL129	Msat53	AC1359	B	241	242	240.38	242.37	5156	4917	29336.0	28511.0	4123	4149	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
H05_APCL130.fsa	APCL130	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
H05_APCL130.fsa	APCL130	Msat53	NNG_012	R	115		115.16		14120		92865.0		2552		false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
H05_APCL130.fsa	APCL130	Msat53	APR_Cf29	R	210		210.59		875		5729.0		3743		false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
H05_APCL130.fsa	APCL130	Msat53	AC1359	B	241	242	240.51	242.41	7055	5652	42345.0	33235.0	4136	4161	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
A05_APCL131.fsa	APCL131	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
A05_APCL131.fsa	APCL131	Msat53	NNG_012	R											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
A05_APCL131.fsa	APCL131	Msat53	APR_Cf29	R	212	218	212.31	217.85	3836	2302	24506.0	14205.0	3739	3811	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
A05_APCL131.fsa	APCL131	Msat53	AC1359	B	241	246	240.51	246.18	10288	7490	61569.0	45074.0	4106	4180	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
F02_APCL132.fsa	APCL132	Msat53	APY_65	G											false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
F02_APCL132.fsa	APCL132	Msat53	NNG_012	R											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
F02_APCL132.fsa	APCL132	Msat53	APR_Cf29	R	229		229.44		565		3770.0		4031		false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
F02_APCL132.fsa	APCL132	Msat53	AC1359	B	241		240.45		1927		12207.0		4176		false	false	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.7889				
E08_APCL133.fsa	APCL133	Msat53	APR_Cf29	R											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
E08_APCL133.fsa	APCL133	Msat53	NNG_012	R	111		110.94		14943		96492.0		2485		false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
E08_APCL133.fsa	APCL133	Msat53	AC1359	B	242	246	242.38	246.16	6401	5025	38202.0	28779.0	4127	4176	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
E08_APCL133.fsa	APCL133	Msat53	APY_65	G	250	256	249.63	255.94	25789	18549	164188.0	120709.0	4221	4303	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
E11_APCL134.fsa	APCL134	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
E11_APCL134.fsa	APCL134	Msat53	NNG_012	R	111		110.99		8022		52134.0		2505		false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
E11_APCL134.fsa	APCL134	Msat53	APR_Cf29	R	209	210	208.43	210.35	806	769	4816.0	4625.0	3716	3741	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
E11_APCL134.fsa	APCL134	Msat53	AC1359	B	242	246	242.33	246.14	3354	3062	21026.0	18895.0	4159	4209	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
B11_APCL135.fsa	APCL135	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
B11_APCL135.fsa	APCL135	Msat53	NNG_012	R	111		111.05		14084		93059.0		2553		false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
B11_APCL135.fsa	APCL135	Msat53	APR_Cf29	R	210	218	210.51	218.06	1131	815	7461.0	5440.0	3805	3905	false	false	0.0	-2.0	-2.0	-2.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81				
B11_APCL135.fsa	APCL135	Msat53	AC1359	B	241	242	240.48	242.44	4214	3523	25986.0	21391.0	4202	4228	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
F04_APCL136.fsa	APCL136	Msat53	NNG_012	R	111		110.93		15489		98508.0		2486		false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
F04_APCL136.fsa	APCL136	Msat53	APR_Cf29	R	210	218	210.38	217.92	3430	2693	22101.0	16251.0	3718	3816	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
F04_APCL136.fsa	APCL136	Msat53	AC1359	B	241	242	240.34	242.33	5014	4372	29395.0	25439.0	4108	4134	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
F04_APCL136.fsa	APCL136	Msat53	APY_65	G	250	256	249.62	255.91	14493	10913	91949.0	69895.0	4229	4311	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
A06_APCL139.fsa	APCL139	Msat53	NNG_012	R	111		110.99		5140		33130.0		2494		false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
A06_APCL139.fsa	APCL139	Msat53	APR_Cf29	R	210	218	210.35	217.87	2455	1776	15002.0	11165.0	3730	3828	false	false	0.0	-2.0	-2.0	-2.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81				
A06_APCL139.fsa	APCL139	Msat53	AC1359	B	241		240.38		19030		116875.0		4122		false	false	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.7889				
A06_APCL139.fsa	APCL139	Msat53	APY_65	G	256		255.82		31639		213349.0		4324		false	false	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.7889				
A05_APCL140.fsa	APCL140	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
A05_APCL140.fsa	APCL140	Msat53	NNG_012	R	111	115	110.92	115.18	4075	2986	26688.0	18306.0	2512	2566	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
A05_APCL140.fsa	APCL140	Msat53	APR_Cf29	R	212	216	212.21	216.0	3400	2620	20586.0	15508.0	3786	3836	false	false	0.0	-2.0	-2.0	-2.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81				
A05_APCL140.fsa	APCL140	Msat53	AC1359	B	241		240.38		15879		99442.0		4158		false	false	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.7889				
E08_APCL141.fsa	APCL141	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
E08_APCL141.fsa	APCL141	Msat53	NNG_012	R	115		115.18		1163		7503.0		2539		false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
E08_APCL141.fsa	APCL141	Msat53	APR_Cf29	R	216	229	215.94	229.32	266	266	1766.0	1704.0	3789	3963	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
E08_APCL141.fsa	APCL141	Msat53	AC1359	B	242	246	242.38	246.15	72	48	429.0	281.0	4133	4182	false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
E02_APCL142.fsa	APCL142	Msat53	NNG_012	R	111	115	111.02	115.13	883	654	5351.0	4079.0	2541	2593	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
E02_APCL142.fsa	APCL142	Msat53	APR_Cf29	R	210	218	210.47	217.98	210	216	1331.0	1440.0	3790	3889	false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
E02_APCL142.fsa	APCL142	Msat53	AC1359	B	241	244	240.47	244.18	926	765	5720.0	4526.0	4186	4235	false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
E02_APCL142.fsa	APCL142	Msat53	APY_65	G	254	256	253.87	255.91	31465	24875	205356.0	156886.0	4363	4390	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
C02_APCL143.fsa	APCL143	Msat53	NNG_012	R											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
C02_APCL143.fsa	APCL143	Msat53	APR_Cf29	R											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
C02_APCL143.fsa	APCL143	Msat53	AC1359	B	241	242	240.49	242.32	8913	6942	53275.0	40317.0	4146	4170	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
C02_APCL143.fsa	APCL143	Msat53	APY_65	G	254	256	253.83	255.88	19393	15253	120715.0	94801.0	4321	4348	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
A07_APCL144.fsa	APCL144	Msat53	APY_65	G											false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
A07_APCL144.fsa	APCL144	Msat53	NNG_012	R	111	115	111.02	115.16	5604	4187	36616.0	25568.0	2462	2514	false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
A07_APCL144.fsa	APCL144	Msat53	APR_Cf29	R	210		210.42		2035		14394.0		3697		false	true	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
A07_APCL144.fsa	APCL144	Msat53	AC1359	B	241	242	240.5	242.41	7060	5566	42058.0	33258.0	4090	4115	false	false	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7889				
F07_APCL145.fsa	APCL145	Msat53	NNG_012	R	111		111.1		6255		41322.0		2463		false	false	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0				
F07_APCL145.fsa	APCL145	Msat53	APR_Cf29	R	210		210.49		4999		32781.0		3698		false	false	0.0	-2.0	-2.0	-2.0	-2.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.81				
