SurveyNum,MEAN_SurvW,SUM_length,SurvWidth,length,area,lat,area_calc,percdiff
45,10,850.78384,10,850.78384,8455.13124,10.48584558,8507.8384,-0.62%
46,10,497.88035,10,497.88035,4987.70408,10.50483028,4978.8035,0.18%
47,5,302.73625,5,302.73625,1512.11173,10.4905329,1513.68125,-0.10%
48,10,652.58978,10,652.58978,6510.52029,10.54867644,6525.8978,-0.24%
49,10,76.2081,10,76.2081,820.0604,10.17324753,762.081,7.07%
50,10,578.52786,10,578.52786,5777.47071,10.17213528,5785.2786,-0.14%
51,10,617.56764,10,617.56764,6179.04171,10.12733398,6175.6764,0.05%
52,10,1386.85434,10,1386.85434,13785.50384,10.13499684,13868.5434,-0.60%
53,10,484.33843,10,484.33843,4881.57088,10.12267832,4843.3843,0.78%
54,0.6,148.47825,0.6,148.47825,88.76661,10.12374169,89.08695,-0.36%
56,10,61.72987,10,61.72987,676.23365,10.00822308,617.2987,8.72%
57,5,407.05572,5,407.05572,1337.89211,9.962341756,2035.2786,-52.13%
58,5,340.44326,5,340.44326,979.57972,10.01716368,1702.2163,-73.77%
59,10,367.90965,10,367.90965,3546.89946,10.00990927,3679.0965,-3.73%
60,5,850.59218,5,850.59218,3679.24509,10.53993781,4252.9609,-15.59%
61,5,1071.5111,5,1071.5111,5224.51092,10.54922265,5357.5555,-2.55%
63,5,624.94286,5,624.94286,3087.33479,10.53228165,3124.7143,-1.21%
64,5,227.74025,5,227.74025,1088.72857,10.85569251,1138.70125,-4.59%
65,10,714.5731,10,714.5731,7133.24208,10.86974303,7145.731,-0.18%
66,5,582.22271,5,582.22271,2312.38324,10.87322695,2911.11355,-25.89%
67,10,1381.16602,10,1381.16602,13712.1137,10.85399026,13811.6602,-0.73%
68,5,657.68732,5,657.68732,3175.87674,10.64145094,3288.4366,-3.54%
69,5,287.95778,5,287.95778,1248.14849,10.74401247,1439.7889,-15.35%
70,5,130.81007,5,130.81007,511.96154,10.63369325,654.05035,-27.75%
71,5,601.47364,5,601.47364,2980.86508,10.65249023,3007.3682,-0.89%
72,10,434.32988,10,434.32988,4362.22686,10.696674,4343.2988,0.43%
73,5,485.21523,5,485.21523,2275.37646,11.04216811,2426.07615,-6.62%
74,10,854.80327,10,854.80327,8403.36106,11.04725082,8548.0327,-1.72%
75,10,532.6653,10,532.6653,5273.5852,11.03778492,5326.653,-1.01%
76,5,1072.87838,5,1072.87838,5288.20359,11.00158338,5364.3919,-1.44%
77,10,782.57784,10,782.57784,7776.54539,10.91361529,7825.7784,-0.63%
78,10,1166.51778,10,1166.51778,11583.56112,10.98685851,11665.1778,-0.70%
79,10,691.09867,10,691.09867,6194.65817,10.95569672,6910.9867,-11.56%
80,10,303.99978,10,303.99978,3081.65196,10.97734244,3039.9978,1.35%
81,10,412.29139,10,412.29139,4129.83279,10.99623198,4122.9139,0.17%
82,0.83333,770.86384,0.83333,770.86384,637.32291,10.9892964,642.3839638,-0.79%
83,5,266.60541,5,266.60541,1181.17058,11.01265392,1333.02705,-12.86%
84,5,691.85079,5,691.85079,3379.51519,10.76290502,3459.25395,-2.36%
85,5,714.38841,5,714.38841,3391.91287,10.7422711,3571.94205,-5.31%
86,10,486.49311,10,486.49311,4843.62912,10.77900501,4864.9311,-0.44%
87,10,678.80791,10,678.80791,6785.72769,10.7667621,6788.0791,-0.03%
88,5,966.50924,5,966.50924,4553.11656,10.92394559,4832.5462,-6.14%
89,5,1113.86297,5,1113.86297,5273.51978,10.89286388,5569.31485,-5.61%
90,10,1165.18556,10,1165.18556,11542.54144,10.93214606,11651.8556,-0.95%
91,10,686.36949,10,686.36949,6802.46509,10.97045388,6863.6949,-0.90%
92,10,882.09368,10,882.09368,8757.89517,10.94744043,8820.9368,-0.72%
93,10,681.0153,10,681.0153,6774.9789,10.94142184,6810.153,-0.52%
94,5,454.1256,5,454.1256,2133.78208,11.34811676,2270.628,-6.41%
95,5,1136.60309,5,1136.60309,5629.76192,11.3489645,5683.01545,-0.95%
96,5,816.93903,5,816.93903,4045.98688,11.3200511,4084.69515,-0.96%
97,10,673.38745,10,673.38745,6673.19062,11.19355692,6733.8745,-0.91%
98,10,938.13041,10,938.13041,9297.61804,11.21078682,9381.3041,-0.90%
99,5,907.79704,5,907.79704,4488.0496,11.21872536,4538.9852,-1.13%
100,5,1155.57484,5,1155.57484,5705.14167,11.33783001,5777.8742,-1.27%
101,5,939.15662,5,939.15662,4612.56875,11.19948544,4695.7831,-1.80%
102,5,1535.80396,5,1535.80396,7578.90068,11.21711204,7679.0198,-1.32%
