Marker,Sample,Reason
ACH_A8,PRBI214,missing
ACH_A8,PRBI215,missing
ACH_A8,PRBI216,missing
ACH_A8,PRBI227,missing
ACH_A8,PRBI228,missing
ACH_A8,PRBI229,missing
ACH_A8,PRBI231,missing
ACH_A8,PRBI235,missing
ACH_A8,PRBI3,missing
ACH_A8,PRBI327,missing
ACH_A8,PRBI329,missing
ACH_A8,PRBI330,missing
ACH_A8,PRBI331,missing
ACH_A8,PRBI336,missing
ACH_A8,PRBI342,missing
ACH_A8,PRBI35,missing
ACH_A8,PRBI45,missing
ACH_A8,PRBI465,missing
ACH_A8,PRBI74,missing
ACH_A8,PRBI76,missing
ACH_A8,PRBI79,missing
ACH_A8,PRBI80,missing
ACH_A8,PRBI82,missing
ACH_A8,PRBI83,missing
ACH_A8,PRBI85,missing
ACH_A8,PRBI86,missing
ACH_A8,PRBI98,missing
ACH_A8,PRBI99,missing
NNG_004,PRBI109,missing
NNG_004,PRBI121,missing
NNG_004,PRBI150,missing
NNG_004,PRBI152,missing
NNG_004,PRBI154,missing
NNG_004,PRBI155,missing
NNG_004,PRBI158,missing
NNG_004,PRBI164,missing
NNG_004,PRBI168,missing
NNG_004,PRBI170,missing
NNG_004,PRBI210,missing
NNG_004,PRBI215,missing
NNG_004,PRBI216,missing
NNG_004,PRBI227,missing
NNG_004,PRBI231,missing
NNG_004,PRBI327,missing
NNG_004,PRBI330,missing
NNG_004,PRBI331,missing
NNG_004,PRBI342,missing
NNG_004,PRBI76,missing
NNG_004,PRBI79,missing
NNG_004,PRBI80,missing
NNG_004,PRBI85,missing
NNG_004,PRBI99,missing
NNG_007,PRBI109,missing
NNG_007,PRBI110,missing
NNG_007,PRBI121,missing
NNG_007,PRBI150,missing
NNG_007,PRBI152,missing
NNG_007,PRBI154,missing
NNG_007,PRBI155,missing
NNG_007,PRBI158,missing
NNG_007,PRBI168,missing
NNG_007,PRBI210,missing
NNG_007,PRBI216,missing
NNG_007,PRBI227,missing
NNG_007,PRBI231,missing
NNG_007,PRBI235,missing
NNG_007,PRBI327,missing
NNG_007,PRBI330,missing
NNG_007,PRBI331,missing
NNG_007,PRBI342,missing
NNG_007,PRBI76,missing
NNG_007,PRBI79,missing
NNG_007,PRBI80,missing
NNG_007,PRBI82,missing
NNG_007,PRBI85,missing
NNG_007,PRBI99,missing
