Marker,Sample,Reason
NNG_028,PRBI117,redo
NNG_028,PRBI25,redo
NNG_028,PRBI4,redo
NNG_028,PRBI82,redo
NNG_028,PRBI174,redo
ACH_A3,PRBI340,redo
ACH_A3,PRBI20,redo
ACH_A3,PRBI79,redo
ACH_A3,PRBI335,redo
ACH_A3,PRBI159,redo
ACH_A3,PRBI44,redo
ACH_A3,PRBI238,redo
ACH_A3,PRBI29,redo
ACH_A3,PRBI23,redo
ACH_A3,PRBI160,redo
ACH_A3,PRBI98,redo
ACH_A3,PRBI364,redo
ACH_A3,PRBI41,redo
ACH_A3,PRBI121,redo
ACH_A3,PRBI263,redo
ACH_A3,PRBI161,redo
ACH_A3,PRBI51,redo
ACH_A3,PRBI260,redo
ACH_A3,PRBI181,redo
ACH_A3,PRBI213,redo
ACH_A7,PRBI7,redo
ACH_A7,PRBI137,redo
ACH_A7,PRBI510,redo
ACH_A7,PRBI341,redo
ACH_A7,PRBI14,redo
ACH_A7,PRBI32,redo
ACH_A7,PRBI123,redo
ACH_A7,PRBI84,redo
ACH_A7,PRBI226,redo
ACH_A7,PRBI83,redo
ACH_A7,PRBI331,redo
ACH_A7,PRBI45,redo
ACH_A7,PRBI119,redo
ACH_A7,PRBI34,redo
ACH_A7,PRBI77,redo
ACH_A7,PRBI178,redo
ACH_A7,PRBI18,redo
ACH_A7,PRBI1,redo
ACH_A7,PRBI175,redo
ACH_A7,PRBI13,redo
ACH_A8,PRBI342,redo
ACH_A8,PRBI98,redo
ACH_A8,PRBI232,redo
ACH_A8,PRBI237,redo
ACH_A8,PRBI239,redo
ACH_A8,PRBI19,redo
ACH_A8,PRBI6,redo
ACH_A8,PRBI77,redo
ACH_A8,PRBI234,redo
ACH_A8,PRBI170,redo
ACH_A8,PRBI9,redo
ACH_A8,PRBI24,redo
ACH_A8,PRBI174,redo
ACH_A8,PRBI236,redo
ACH_A8,PRBI328,redo
ACH_A8,PRBI76,redo
ACH_A8,PRBI119,redo
ACH_A8,PRBI113,redo
ACH_A8,PRBI184,redo
ACH_A8,PRBI26,redo
ACH_C1,PRBI179,redo
ACH_C1,PRBI79,redo
ACH_C1,PRBI180,redo
ACH_C1,PRBI186,redo
ACH_C1,PRBI33,redo
ACH_C1,PRBI147,redo
ACH_C1,PRBI178,redo
ACH_C1,PRBI158,redo
ACH_C1,PRBI340,redo
ACH_C1,PRBI120,redo
ACH_C1,PRBI75,redo
ACH_C1,PRBI333,redo
ACH_C1,PRBI170,redo
ACH_C1,PRBI4,redo
ACH_C1,PRBI156,redo
ACH_C1,PRBI209,redo
ACH_C1,PRBI189,redo
ACH_C1,PRBI148,redo
ACH_C1,PRBI238,redo
ACH_C1,PRBI118,redo
ACH_D1,PRBI82,redo
ACH_D1,PRBI324,redo
ACH_D1,PRBI178,redo
ACH_D1,PRBI8,redo
ACH_D1,PRBI164,redo
ACH_D1,PRBI466,redo
ACH_D1,PRBI1,redo
ACH_D1,PRBI5,redo
ACH_D1,PRBI330,redo
ACH_D1,PRBI22,redo
ACH_D1,PRBI237,redo
ACH_D1,PRBI46,redo
ACH_D1,PRBI263,redo
ACH_D1,PRBI328,redo
ACH_D1,PRBI84,redo
ACH_D1,PRBI158,redo
ACH_D1,PRBI151,redo
ACH_D1,PRBI157,redo
ACH_D1,PRBI10,redo
ACH_D1,PRBI153,redo
NNG_004,PRBI43,redo
NNG_004,PRBI25,redo
NNG_004,PRBI37,redo
NNG_004,PRBI80,redo
NNG_004,PRBI14,redo
NNG_004,PRBI339,redo
NNG_004,PRBI33,redo
NNG_004,PRBI23,redo
NNG_004,PRBI137,redo
NNG_004,PRBI12,redo
NNG_004,PRBI79,redo
NNG_004,PRBI211,redo
NNG_004,PRBI3,redo
NNG_004,PRBI510,redo
NNG_004,PRBI329,redo
NNG_004,PRBI210,redo
NNG_004,PRBI238,redo
NNG_004,PRBI34,redo
NNG_004,PRBI227,redo
NNG_004,PRBI152,redo
NNG_007,PRBI174,redo
NNG_007,PRBI73,redo
NNG_007,PRBI30,redo
NNG_007,PRBI8,redo
NNG_007,PRBI227,redo
NNG_007,PRBI231,redo
NNG_007,PRBI18,redo
NNG_007,PRBI80,redo
NNG_007,PRBI230,redo
NNG_007,PRBI148,redo
NNG_007,PRBI75,redo
NNG_007,PRBI340,redo
NNG_007,PRBI122,redo
NNG_007,PRBI229,redo
NNG_007,PRBI337,redo
NNG_007,PRBI226,redo
NNG_007,PRBI43,redo
NNG_007,PRBI79,redo
NNG_007,PRBI29,redo
NNG_007,PRBI22,redo
ACH_A11,PRBI122,uncertain
ACH_A11,PRBI110,uncertain
ACH_A11,PRBI209,uncertain
ACH_A11,PRBI109,uncertain
ACH_A11,PRBI112,uncertain
ACH_A11,PRBI114,uncertain
ACH_A11,PRBI14,uncertain
ACH_A11,PRBI164,uncertain
ACH_A11,PRBI178,uncertain
ACH_A11,PRBI209,uncertain
ACH_A11,PRBI210,uncertain
ACH_A11,PRBI216,uncertain
ACH_A11,PRBI226,uncertain
ACH_A11,PRBI227,uncertain
ACH_A11,PRBI237,uncertain
ACH_A11,PRBI238,uncertain
ACH_A11,PRBI25,uncertain
ACH_A11,PRBI260,uncertain
ACH_A11,PRBI30,uncertain
ACH_A11,PRBI32,uncertain
ACH_A11,PRBI325,uncertain
ACH_A11,PRBI33,uncertain
ACH_A11,PRBI332,uncertain
ACH_A11,PRBI334,uncertain
ACH_A11,PRBI338,uncertain
ACH_A11,PRBI36,uncertain
ACH_A11,PRBI42,uncertain
ACH_A11,PRBI43,uncertain
ACH_A11,PRBI7,uncertain
ACH_A11,PRBI75,uncertain
ACH_A11,PRBI78,uncertain
ACH_A11,PRBI79,uncertain
ACH_A11,PRBI8,uncertain
ACH_A11,PRBI80,uncertain
ACH_A11,PRBI81,uncertain
ACH_A11,PRBI98,uncertain
ACH_A11,PRBI209,uncertain
ACH_A11,PRBI325,uncertain
ACH_A11,PRBI339,uncertain
ACH_A11,PRBI99,uncertain
ACH_A4,PRBI109,uncertain
ACH_A4,PRBI112,uncertain
ACH_A4,PRBI121,uncertain
ACH_A4,PRBI149,uncertain
ACH_A4,PRBI152,uncertain
ACH_A4,PRBI164,uncertain
ACH_A4,PRBI185,uncertain
ACH_A4,PRBI188,uncertain
ACH_A4,PRBI19,uncertain
ACH_A4,PRBI210,uncertain
ACH_A4,PRBI226,uncertain
ACH_A4,PRBI229,uncertain
ACH_A4,PRBI234,uncertain
ACH_A4,PRBI237,uncertain
ACH_A4,PRBI260,uncertain
ACH_A4,PRBI323,uncertain
ACH_A4,PRBI324,uncertain
ACH_A4,PRBI325,uncertain
ACH_A4,PRBI326,uncertain
ACH_A4,PRBI328,uncertain
ACH_A4,PRBI329,uncertain
ACH_A4,PRBI33,uncertain
ACH_A4,PRBI330,uncertain
ACH_A4,PRBI335,uncertain
ACH_A4,PRBI337,uncertain
ACH_A4,PRBI34,uncertain
ACH_A4,PRBI342,uncertain
ACH_A4,PRBI363,uncertain
ACH_A4,PRBI364,uncertain
ACH_A4,PRBI41,uncertain
ACH_A4,PRBI44,uncertain
ACH_A4,PRBI45,uncertain
ACH_A4,PRBI465,uncertain
ACH_A4,PRBI6,uncertain
ACH_B9,PRBI113,uncertain
ACH_B9,PRBI158,uncertain
ACH_B9,PRBI174,uncertain
ACH_B9,PRBI184,uncertain
ACH_B9,PRBI20,uncertain
ACH_B9,PRBI209,uncertain
ACH_B9,PRBI210,uncertain
ACH_B9,PRBI213,uncertain
ACH_B9,PRBI215,uncertain
ACH_B9,PRBI22,uncertain
ACH_B9,PRBI235,uncertain
ACH_B9,PRBI239,uncertain
ACH_B9,PRBI3,uncertain
ACH_B9,PRBI330,uncertain
ACH_B9,PRBI334,uncertain
ACH_B9,PRBI335,uncertain
ACH_B9,PRBI78,uncertain
ACH_B9,PRBI81,uncertain
ACH_B9,PRBI87,uncertain
ACH_A7,PRBI340,uncertain
ACH_A7,PRBI84,uncertain
ACH_A7,PRBI335,uncertain
ACH_C1,PRBI113,uncertain
ACH_C1,PRBI119,uncertain
ACH_C1,PRBI123,uncertain
ACH_C1,PRBI137,uncertain
ACH_C1,PRBI147,uncertain
ACH_C1,PRBI153,uncertain
ACH_C1,PRBI180,uncertain
ACH_C1,PRBI185,uncertain
ACH_C1,PRBI210,uncertain
ACH_C1,PRBI213,uncertain
ACH_C1,PRBI215,uncertain
ACH_C1,PRBI229,uncertain
ACH_C1,PRBI230,uncertain
ACH_C1,PRBI233,uncertain
ACH_C1,PRBI234,uncertain
ACH_C1,PRBI238,uncertain
ACH_C1,PRBI239,uncertain
ACH_C1,PRBI263,uncertain
ACH_C1,PRBI326,uncertain
ACH_C1,PRBI327,uncertain
ACH_C1,PRBI328,uncertain
ACH_C1,PRBI329,uncertain
ACH_C1,PRBI331,uncertain
ACH_C1,PRBI332,uncertain
ACH_C1,PRBI34,uncertain
ACH_C1,PRBI338,uncertain
ACH_C1,PRBI339,uncertain
ACH_C1,PRBI341,uncertain
ACH_C1,PRBI466,uncertain
ACH_C1,PRBI79,uncertain
ACH_C1,PRBI81,uncertain
ACH_C1,PRBI85,uncertain
ACH_D1,PRBI117,uncertain
ACH_D1,PRBI118,uncertain
ACH_D1,PRBI147,uncertain
ACH_D1,PRBI158,uncertain
ACH_D1,PRBI160,uncertain
ACH_D1,PRBI170,uncertain
ACH_D1,PRBI175,uncertain
ACH_D1,PRBI178,uncertain
ACH_D1,PRBI179,uncertain
ACH_D1,PRBI229,uncertain
ACH_D1,PRBI230,uncertain
ACH_D1,PRBI233,uncertain
ACH_D1,PRBI234,uncertain
ACH_D1,PRBI235,uncertain
ACH_D1,PRBI335,uncertain
ACH_D1,PRBI510,uncertain
ACH_A3,PRBI137,uncertain
ACH_A3,PRBI83,uncertain
ACH_A8,PRBI116,uncertain
ACH_A8,PRBI228,uncertain
ACH_A8,PRBI229,uncertain
ACH_A8,PRBI336,uncertain
ACH_A8,PRBI83,uncertain
NNG_004,PRBI148,uncertain
NNG_004,PRBI164,uncertain
NNG_004,PRBI210,uncertain
NNG_004,PRBI158,uncertain
NNG_007,PRBI158,uncertain
NNG_007,PRBI164,uncertain
NNG_007,PRBI167,uncertain
NNG_007,PRBI170,uncertain
NNG_007,PRBI210,uncertain
NNG_007,PRBI232,uncertain
NNG_007,PRBI510,uncertain
