Marker,Sample,Reason
AC1578,44,homo
AC1578,45,homo
AC1578,46,homo
AC1578,465,homo
AC1578,510,homo
AC1578,6,homo
AC1578,7,homo
AC1578,71,homo
AC1578,72,homo
AC1578,74,homo
AC1578,75,homo
AC1578,76,homo
AC1578,78,homo
AC1578,8,homo
AC1578,87,homo
NNG_012,79,dye
AC1359,PRBI113,missing
AC1359,PRBI146,missing
AC1359,PRBI147,missing
AC1359,PRBI233,missing
AC1359,PRBI84,missing
AC1359,PRBI86,missing
APR_Cf29,PRBI113,missing
APR_Cf29,PRBI146,missing
APR_Cf29,PRBI17,missing
APR_Cf29,PRBI188,missing
APR_Cf29,PRBI215,missing
APR_Cf29,PRBI233,missing
APR_Cf29,PRBI328,missing
APR_Cf29,PRBI51,missing
APR_Cf29,PRBI84,missing
APR_Cf29,PRBI86,missing
APR_Cf29,PRBI87,missing
NNG_012,PRBI113,missing
NNG_012,PRBI115,missing
NNG_012,PRBI146,missing
NNG_012,PRBI147,missing
NNG_012,PRBI168,missing
NNG_012,PRBI233,missing
NNG_012,PRBI35,missing
NNG_012,PRBI86,missing
AC1578,PRBI1,missing
AC1578,PRBI112,missing
AC1578,PRBI113,missing
AC1578,PRBI138,missing
AC1578,PRBI146,missing
AC1578,PRBI15,missing
AC1578,PRBI16,missing
AC1578,PRBI161,missing
AC1578,PRBI174,missing
AC1578,PRBI175,missing
AC1578,PRBI184,missing
AC1578,PRBI186,missing
AC1578,PRBI2,missing
AC1578,PRBI211,missing
AC1578,PRBI22,missing
AC1578,PRBI233,missing
AC1578,PRBI323,missing
AC1578,PRBI325,missing
AC1578,PRBI337,missing
AC1578,PRBI363,missing
AC1578,PRBI43,missing
AC1578,PRBI465,missing
AC1578,PRBI5,missing
AC1578,PRBI7,missing
AC1578,PRBI71,missing
AC1578,PRBI75,missing
AC1578,PRBI78,missing
AC1578,PRBI8,missing
AC1578,PRBI84,missing
AC1578,PRBI85,missing
AC1578,PRBI86,missing
AC1578,PRBI9,missing
AC1359,PRBI262,error-checking
AC1359,PRBI156,error-checking
AC1359,PRBI34,error-checking
AC1359,PRBI109,error-checking
AC1359,PRBI150,error-checking
AC1359,PRBI466,error-checking
AC1359,PRBI82,error-checking
AC1359,PRBI86,error-checking
AC1359,PRBI118,error-checking
AC1359,PRBI119,error-checking
AC1359,PRBI81,error-checking
AC1359,PRBI230,error-checking
AC1359,PRBI179,error-checking
AC1359,PRBI20,error-checking
AC1359,PRBI169,error-checking
AC1359,PRBI327,error-checking
AC1359,PRBI75,error-checking
AC1359,PRBI80,error-checking
AC1359,PRBI7,error-checking
AC1359,PRBI168,error-checking
AC1578,PRBI262,error-checking
AC1578,PRBI156,error-checking
AC1578,PRBI34,error-checking
AC1578,PRBI109,error-checking
AC1578,PRBI150,error-checking
AC1578,PRBI466,error-checking
AC1578,PRBI82,error-checking
AC1578,PRBI86,error-checking
AC1578,PRBI118,error-checking
AC1578,PRBI119,error-checking
AC1578,PRBI81,error-checking
AC1578,PRBI230,error-checking
AC1578,PRBI179,error-checking
AC1578,PRBI20,error-checking
AC1578,PRBI169,error-checking
AC1578,PRBI327,error-checking
AC1578,PRBI75,error-checking
AC1578,PRBI80,error-checking
AC1578,PRBI7,error-checking
AC1578,PRBI168,error-checking
APR_Cf29,PRBI262,error-checking
APR_Cf29,PRBI156,error-checking
APR_Cf29,PRBI34,error-checking
APR_Cf29,PRBI109,error-checking
APR_Cf29,PRBI150,error-checking
APR_Cf29,PRBI466,error-checking
APR_Cf29,PRBI82,error-checking
APR_Cf29,PRBI86,error-checking
APR_Cf29,PRBI118,error-checking
APR_Cf29,PRBI119,error-checking
APR_Cf29,PRBI81,error-checking
APR_Cf29,PRBI230,error-checking
APR_Cf29,PRBI179,error-checking
APR_Cf29,PRBI20,error-checking
APR_Cf29,PRBI169,error-checking
APR_Cf29,PRBI327,error-checking
APR_Cf29,PRBI75,error-checking
APR_Cf29,PRBI80,error-checking
APR_Cf29,PRBI7,error-checking
APR_Cf29,PRBI168,error-checking
NNG_012,PRBI262,error-checking
NNG_012,PRBI156,error-checking
NNG_012,PRBI34,error-checking
NNG_012,PRBI109,error-checking
NNG_012,PRBI150,error-checking
NNG_012,PRBI466,error-checking
NNG_012,PRBI82,error-checking
NNG_012,PRBI86,error-checking
NNG_012,PRBI118,error-checking
NNG_012,PRBI119,error-checking
NNG_012,PRBI81,error-checking
NNG_012,PRBI230,error-checking
NNG_012,PRBI179,error-checking
NNG_012,PRBI20,error-checking
NNG_012,PRBI169,error-checking
NNG_012,PRBI327,error-checking
NNG_012,PRBI75,error-checking
NNG_012,PRBI80,error-checking
NNG_012,PRBI7,error-checking
NNG_012,PRBI168,error-checking
