,Sample,Marker,A1.AFG1,A2.AFG1,A1.AFG9,A2.AFG9,A1.AFG15,A2.AFG15,A1.AFG1.M,A2.AFG1.M,A1.AFG4.M,A2.AFG4.M,A1.AFG6.M,A2.AFG6.M,A1.AFG8.M,A2.AFG8.M,A1.AFG9.M,A2.AFG9.M,A1.AFG45,A2.AFG45,A1.AFG46,A2.AFG46,A1.AFG48,A2.AFG48,A1.AFG49,A2.AFG49,A1.AFG50,A2.AFG50,A1.AFG51,A2.AFG51,A1.AFG58,A2.AFG58,error,numgenos,A1consens,A2consens,hom
627,PRBI119,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,194,TRUE,2,182,194,FALSE
636,PRBI119,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,290,TRUE,2,284,290,FALSE
724,PRBI122,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,290,TRUE,2,284,290,FALSE
804,PRBI138,NNG_028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,335,TRUE,2,294,335,FALSE
834,PRBI14,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,288,NA,NA,NA,NA,288,290,TRUE,2,288,290,FALSE
869,PRBI148,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,194,TRUE,2,182,194,FALSE
900,PRBI149,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,286,NA,NA,NA,NA,286,290,TRUE,2,286,290,FALSE
979,PRBI152,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,194,TRUE,2,182,194,FALSE
1090,PRBI157,NNG_028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,364,TRUE,2,294,364,FALSE
1155,PRBI16,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,190,NA,NA,NA,NA,182,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2,182,190,FALSE
1221,PRBI167,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,190,TRUE,2,182,190,FALSE
1230,PRBI167,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,290,TRUE,2,286,290,FALSE
1309,PRBI170,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,182,TRUE,2,167,182,FALSE
1318,PRBI170,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,290,TRUE,2,286,290,FALSE
1331,PRBI174,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,182,NA,NA,TRUE,2,171,182,FALSE
1419,PRBI18,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,190,TRUE,2,182,190,FALSE
1441,PRBI180,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,202,TRUE,2,182,202,FALSE
1507,PRBI185,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,190,TRUE,2,182,190,FALSE
1573,PRBI19,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,186,TRUE,2,182,186,FALSE
1595,PRBI20,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,198,182,198,TRUE,3,182,198,FALSE
1604,PRBI20,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,286,NA,NA,NA,NA,286,290,TRUE,2,286,290,FALSE
1617,PRBI209,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,198,NA,NA,TRUE,2,182,198,FALSE
1713,PRBI215,NNG_004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,255,253,255,TRUE,3,253,255,FALSE
1772,PRBI227,NNG_028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,296,TRUE,2,296,364,FALSE
1793,PRBI228,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,194,182,194,TRUE,3,182,194,FALSE
1815,PRBI229,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,182,TRUE,2,171,182,FALSE
1837,PRBI230,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,190,190,190,TRUE,3,182,190,FALSE
1859,PRBI231,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,194,182,194,TRUE,3,182,194,FALSE
1882,PRBI232,NNG_028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,296,296,362,TRUE,3,296,362,FALSE
1890,PRBI232,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,290,TRUE,2,286,290,FALSE
1925,PRBI234,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,182,171,182,TRUE,3,171,182,FALSE
2013,PRBI238,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,182,TRUE,2,171,182,FALSE
2022,PRBI238,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,290,TRUE,2,284,290,FALSE
2035,PRBI239,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,190,182,190,TRUE,3,182,190,FALSE
2044,PRBI239,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,290,TRUE,2,288,290,FALSE
2079,PRBI25,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,190,NA,NA,TRUE,2,182,190,FALSE
2101,PRBI26,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,182,TRUE,2,167,182,FALSE
2132,PRBI261,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,290,TRUE,2,286,290,FALSE
2145,PRBI262,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,190,TRUE,2,182,190,FALSE
2176,PRBI263,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,290,TRUE,2,284,290,FALSE
2189,PRBI29,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,182,TRUE,2,167,182,FALSE
2198,PRBI29,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,284,NA,NA,NA,NA,284,290,TRUE,2,284,290,FALSE
2233,PRBI30,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,194,TRUE,2,182,194,FALSE
2308,PRBI324,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,290,TRUE,2,286,290,FALSE
2343,PRBI327,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,182,TRUE,2,167,182,FALSE
2431,PRBI330,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,190,182,190,TRUE,3,182,190,FALSE
2432,PRBI330,NNG_028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,335,TRUE,3,294,335,FALSE
2497,PRBI333,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,182,TRUE,2,167,182,FALSE
2528,PRBI334,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,290,TRUE,2,286,290,FALSE
2572,PRBI336,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,290,TRUE,2,286,290,FALSE
2607,PRBI338,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,194,TRUE,2,182,194,FALSE
2761,PRBI36,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,182,TRUE,2,167,182,FALSE
2858,PRBI41,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,286,NA,NA,NA,NA,286,286,NA,NA,NA,NA,286,290,TRUE,3,286,290,FALSE
2871,PRBI42,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,182,167,182,TRUE,3,167,182,FALSE
2915,PRBI44,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,202,TRUE,2,182,202,FALSE
2959,PRBI46,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,182,TRUE,2,167,182,FALSE
2981,PRBI466,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,182,167,182,TRUE,3,167,182,FALSE
3069,PRBI7,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,190,NA,NA,NA,NA,182,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2,182,190,FALSE
3113,PRBI73,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,194,182,194,TRUE,3,182,194,FALSE
3135,PRBI74,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,194,TRUE,2,182,194,FALSE
3157,PRBI75,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,182,TRUE,2,171,182,FALSE
3333,PRBI82,ACH_B9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,194,TRUE,2,179,194,FALSE
3378,PRBI84,NNG_028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,TRUE,2,294,358,FALSE
3496,PRBI98,NNG_007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286,290,TRUE,2,286,290,FALSE
