"","Sample","Marker","A1.AFG1","A2.AFG1","A1.AFG9","A2.AFG9","A1.AFG15","A2.AFG15","A1.AFG1.M","A2.AFG1.M","A1.AFG4.M","A2.AFG4.M","A1.AFG6.M","A2.AFG6.M","A1.AFG8.M","A2.AFG8.M","A1.AFG9.M","A2.AFG9.M","A1.AFG45","A2.AFG45","A1.AFG46","A2.AFG46","A1.AFG48","A2.AFG48","A1.AFG49","A2.AFG49","A1.AFG50","A2.AFG50","A1.AFG51","A2.AFG51","A1.AFG58","A2.AFG58","A1.AFG60","A2.AFG60","error","numgenos","A1consens","A2consens","hom"
"375","PRBI10","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"419","PRBI11","AC1359",NA,NA,273,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,273,TRUE
"441","PRBI110","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"463","PRBI112","AC1359",NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"485","PRBI113","AC1359",NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"507","PRBI114","AC1359",NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,FALSE,2,275,275,TRUE
"529","PRBI115","AC1359",NA,NA,NA,NA,NA,NA,273,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,273,NA,NA,NA,NA,NA,NA,FALSE,2,273,273,TRUE
"551","PRBI116","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"573","PRBI117","AC1359",NA,NA,273,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,273,TRUE
"595","PRBI118","AC1359",NA,NA,273,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,273,NA,NA,NA,NA,NA,NA,FALSE,2,273,273,TRUE
"617","PRBI119","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,FALSE,2,275,275,TRUE
"639","PRBI12","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"661","PRBI120","AC1359",NA,NA,275,277,275,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,275,277,FALSE
"683","PRBI121","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"705","PRBI122","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"727","PRBI123","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"749","PRBI13","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"771","PRBI137","AC1359",NA,NA,NA,NA,273,275,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,273,275,FALSE
"793","PRBI138","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"815","PRBI14","AC1359",NA,NA,NA,NA,NA,NA,275,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,277,FALSE
"837","PRBI147","AC1359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"859","PRBI148","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"881","PRBI149","AC1359",NA,NA,NA,NA,275,277,275,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,275,277,FALSE
"903","PRBI15","AC1359",NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,FALSE,2,275,275,TRUE
"925","PRBI150","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,275,NA,NA,NA,NA,NA,NA,FALSE,2,273,275,FALSE
"947","PRBI151","AC1359",NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,FALSE,2,275,275,TRUE
"969","PRBI152","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"991","PRBI153","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1013","PRBI154","AC1359",NA,NA,NA,NA,275,275,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,FALSE,3,275,275,TRUE
"1035","PRBI155","AC1359",NA,NA,NA,NA,275,277,275,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,275,277,FALSE
"1057","PRBI156","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,FALSE,2,275,275,TRUE
"1079","PRBI157","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"1101","PRBI158","AC1359",NA,NA,275,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,277,FALSE
"1123","PRBI159","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1145","PRBI16","AC1359",NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,FALSE,2,275,275,TRUE
"1167","PRBI160","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"1189","PRBI164","AC1359",NA,NA,NA,NA,NA,NA,237,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,237,237,TRUE
"1211","PRBI167","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"1233","PRBI168","AC1359",NA,NA,NA,NA,NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,275,NA,NA,NA,NA,NA,NA,FALSE,2,273,275,FALSE
"1255","PRBI169","AC1359",NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,FALSE,2,275,275,TRUE
"1277","PRBI17","AC1359",NA,NA,NA,NA,NA,NA,273,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,277,FALSE
"1299","PRBI170","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"1321","PRBI174","AC1359",NA,NA,NA,NA,NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1343","PRBI175","AC1359",NA,NA,NA,NA,275,275,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,275,275,TRUE
"1365","PRBI178","AC1359",NA,NA,NA,NA,275,275,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,275,NA,NA,NA,NA,NA,NA,FALSE,3,275,275,TRUE
"1387","PRBI179","AC1359",NA,NA,275,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,277,NA,NA,NA,NA,NA,NA,FALSE,2,275,277,FALSE
"1409","PRBI18","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1431","PRBI180","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"1453","PRBI181","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1475","PRBI183","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1497","PRBI185","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"1519","PRBI188","AC1359",NA,NA,275,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,277,FALSE
"1541","PRBI189","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1563","PRBI19","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1585","PRBI20","AC1359",NA,NA,273,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,273,NA,NA,NA,NA,NA,NA,FALSE,2,273,273,TRUE
"1607","PRBI209","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1629","PRBI210","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"1651","PRBI213","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1673","PRBI214","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1695","PRBI215","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1717","PRBI216","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"1739","PRBI226","AC1359",NA,NA,273,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,273,TRUE
"1761","PRBI227","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1783","PRBI228","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"1805","PRBI229","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"1827","PRBI230","AC1359",NA,NA,NA,NA,275,277,275,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,277,NA,NA,NA,NA,NA,NA,FALSE,3,275,277,FALSE
"1849","PRBI231","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"1871","PRBI232","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"1893","PRBI233","AC1359",NA,NA,NA,NA,273,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,273,NA,NA,NA,NA,NA,NA,FALSE,2,273,273,TRUE
"1915","PRBI234","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"1937","PRBI235","AC1359",NA,NA,NA,NA,273,275,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2,273,275,FALSE
"1959","PRBI236","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"1981","PRBI237","AC1359",NA,NA,275,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,277,FALSE
"2003","PRBI238","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"2025","PRBI239","AC1359",NA,NA,273,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,273,TRUE
"2047","PRBI24","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"2069","PRBI25","AC1359",NA,NA,NA,NA,NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"2091","PRBI26","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"2113","PRBI261","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"2135","PRBI262","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,275,NA,NA,NA,NA,NA,NA,FALSE,2,273,275,FALSE
"2157","PRBI263","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"2179","PRBI29","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"2201","PRBI3","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"2223","PRBI30","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"2245","PRBI31","AC1359",NA,NA,273,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,275,FALSE
"2267","PRBI32","AC1359",NA,NA,275,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,277,FALSE
"2289","PRBI324","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"2311","PRBI326","AC1359",NA,NA,273,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,273,273,TRUE
"2333","PRBI327","AC1359",NA,NA,275,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,277,NA,NA,NA,NA,NA,NA,FALSE,2,275,277,FALSE
"2355","PRBI328","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"2377","PRBI329","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
"2399","PRBI33","AC1359",NA,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,275,275,TRUE
