Sample,Marker,Reason
PRBI178,ACH_C1,redo
PRBI158,ACH_C1,redo
PRBI340,ACH_C1,redo
PRBI120,ACH_C1,redo
PRBI75,ACH_C1,redo
PRBI333,ACH_C1,redo
PRBI170,ACH_C1,redo
PRBI4,ACH_C1,redo
PRBI156,ACH_C1,redo
PRBI209,ACH_C1,redo
PRBI189,ACH_C1,redo
PRBI148,ACH_C1,redo
PRBI238,ACH_C1,redo
PRBI118,ACH_C1,redo
PRBI82,ACH_D1,redo
PRBI324,ACH_D1,redo
PRBI178,ACH_D1,redo
PRBI8,ACH_D1,redo
PRBI164,ACH_D1,redo
PRBI466,ACH_D1,redo
PRBI1,ACH_D1,redo
PRBI5,ACH_D1,redo
PRBI330,ACH_D1,redo
PRBI22,ACH_D1,redo
PRBI237,ACH_D1,redo
PRBI46,ACH_D1,redo
PRBI263,ACH_D1,redo
PRBI328,ACH_D1,redo
PRBI84,ACH_D1,redo
PRBI158,ACH_D1,redo
PRBI151,ACH_D1,redo
PRBI157,ACH_D1,redo
PRBI10,ACH_D1,redo
PRBI153,ACH_D1,redo
PRBI43,NNG_004,redo
PRBI25,NNG_004,redo
PRBI37,NNG_004,redo
PRBI80,NNG_004,redo
PRBI14,NNG_004,redo
PRBI339,NNG_004,redo
PRBI33,NNG_004,redo
PRBI23,NNG_004,redo
PRBI137,NNG_004,redo
PRBI12,NNG_004,redo
PRBI79,NNG_004,redo
PRBI211,NNG_004,redo
PRBI3,NNG_004,redo
PRBI510,NNG_004,redo
PRBI329,NNG_004,redo
PRBI210,NNG_004,redo
PRBI238,NNG_004,redo
PRBI34,NNG_004,redo
PRBI227,NNG_004,redo
PRBI152,NNG_004,redo
PRBI174,NNG_007,redo
PRBI73,NNG_007,redo
PRBI30,NNG_007,redo
PRBI8,NNG_007,redo
PRBI227,NNG_007,redo
PRBI231,NNG_007,redo
PRBI18,NNG_007,redo
PRBI80,NNG_007,redo
PRBI230,NNG_007,redo
PRBI148,NNG_007,redo
PRBI75,NNG_007,redo
PRBI340,NNG_007,redo
PRBI122,NNG_007,redo
PRBI229,NNG_007,redo
PRBI337,NNG_007,redo
PRBI226,NNG_007,redo
PRBI43,NNG_007,redo
PRBI79,NNG_007,redo
PRBI29,NNG_007,redo
PRBI22,NNG_007,redo
