Anemonefish partial data file 090208												
npops = 19												
nloci = 6												
	AC1359		APR_Cf29		APY_65		NNG_012		AC1578		APY_45	
APCL240	122	123	106	107	125	129	58	58	127	127	19	19
APCL241	123	124	106	106	129	129	56	56	126	127	?	?
APCL242	122	122	107	116	126	128	56	58	126	127	14	17
APCL243	122	123	106	116	126	129	56	59	127	127	12	13
APCL244	122	123	116	116	128	129	56	56	127	129	12	12
APCL245	123	127	106	106	126	129	56	58	127	127	12	19
APCL246	122	122	104	105	126	129	56	56	126	127	12	17
APCL247	122	123	106	116	129	129	56	58	126	127	17	17
APCL248	122	123	109	116	128	129	56	56	126	127	12	19
APCL249	122	123	106	107	129	129	57	58	127	129	?	?
APCL250	122	122	106	107	129	129	56	58	127	127	12	17
APCL251	122	122	106	107	129	129	56	59	127	127	17	17
APCL252	125	125	107	111	129	129	58	58	127	127	17	17
APCL253	122	122	107	109	126	129	56	56	129	129	17	17
APCL254	122	123	106	116	125	129	56	56	127	127	12	17
APCL255	123	125	107	110	125	126	56	56	127	127	17	17
APCL256	122	122	106	106	129	131	56	56	127	130	12	19
APCL257	122	124	107	108	126	129	56	58	127	130	17	17
APCL258	?	?	105	106	126	128	58	58	126	127	12	17
APCL259	122	123	107	107	129	130	56	58	127	127	17	17
pop = Sogod												
APCL467	122	122	116	116	126	126	56	58	127	127	12	17
APCL468	122	122	106	109	126	129	56	58	127	129	17	17
APCL469	122	125	109	116	129	129	56	58	?	?	16	17
APCL470	122	123	107	108	126	129	56	56	127	127	17	17
APCL471	122	122	108	109	125	128	56	56	127	127	?	?
APCL472	122	123	106	116	129	130	56	58	127	130	12	17
APCL473	122	123	106	107	126	129	57	59	127	127	?	?
APCL474	123	125	105	106	128	129	56	56	127	127	12	17
APCL475	122	123	106	106	126	129	56	58	127	127	?	?
APCL476	122	122	106	108	129	129	56	57	?	?	12	19
APCL477	123	123	107	108	126	129	56	58	127	127	12	19
APCL478	122	125	103	108	125	129	58	58	126	127	12	12
APCL479	122	125	106	110	126	129	56	56	127	127	12	12
APCL480	125	125	105	106	129	129	56	58	127	127	12	17
APCL481	123	125	106	106	126	126	56	58	127	127	?	?
APCL482	125	125	106	106	126	128	56	58	127	127	?	?
APCL483	122	124	105	109	126	128	56	58	127	130	12	12
APCL484	122	125	107	109	?	?	58	58	127	130	17	17
APCL485	122	122	106	116	128	129	56	58	127	129	18	19
APCL486	125	125	106	106	126	129	56	56	127	128	12	12
APCL487	122	124	105	105	126	128	56	57	127	127	12	17
pop = Tabogon												
APCL488	?	?	106	109	125	129	56	56	127	129	12	19
APCL489	122	125	106	106	129	129	56	58	?	?	12	12
APCL490	122	123	106	109	129	129	58	59	127	129	12	12
APCL491	122	123	106	109	126	128	58	58	126	127	12	17
APCL492	123	125	106	110	126	132	56	56	127	127	12	12
APCL493	122	123	105	107	126	129	58	58	127	129	12	19
APCL494	122	124	105	111	126	129	56	56	127	128	12	19
APCL495	122	122	104	107	126	129	56	57	126	127	12	13
APCL496	122	123	105	106	126	128	58	58	?	?	13	17
APCL497	122	123	110	111	126	126	56	56	127	127	12	12
APCL498	122	122	106	107	129	131	?	?	126	129	12	13
APCL499	122	123	106	116	129	131	56	58	127	128	12	13
APCL500	123	123	106	107	126	128	56	58	127	128	?	?
APCL501	123	124	106	116	128	131	58	58	127	127	?	?
APCL502	122	122	105	110	129	129	56	56	126	127	12	17
APCL503	122	123	?	?	127	129	56	56	127	127	12	12
APCL504	122	123	109	116	126	129	58	58	127	128	12	17
APCL506	122	125	105	116	129	129	56	56	127	127	15	15
APCL507	122	123	106	106	129	129	56	56	126	127	12	17
APCL508	122	122	105	111	129	129	56	56	127	127	12	17
APCL509	122	123	106	107	126	128	56	58	?	?	17	17
pop = Daanbantayan												
APCL532	122	123	106	106	129	129	56	58	127	127	12	19
APCL533	122	125	106	110	126	128	56	58	127	127	12	17
APCL534	122	123	106	107	126	132	58	58	126	126	12	17
APCL535	122	125	104	107	129	129	?	?	126	126	12	17
APCL536	122	123	?	?	128	129	56	56	?	?	12	15
APCL537	123	123	106	108	129	129	56	58	127	130	17	17
APCL538	?	?	105	109	129	129	56	58	127	127	17	17
APCL539	122	125	109	110	125	129	58	58	?	?	?	?
APCL540	122	123	106	110	126	129	56	56	127	127	12	17
APCL541	122	122	105	106	128	129	56	58	127	127	?	?
APCL542	122	122	105	105	129	129	58	58	127	127	?	?
APCL543	122	123	106	116	126	129	56	58	127	130	17	19
APCL544	122	122	105	110	129	129	58	58	126	127	12	17
APCL545	122	124	105	106	129	129	56	57	?	?	12	17
APCL546	122	122	?	?	126	128	56	58	127	127	12	17
APCL547	122	125	106	106	126	129	56	59	126	130	13	19
APCL549	122	125	?	?	126	129	56	56	127	129	17	19
APCL550	122	123	105	108	126	128	56	56	?	?	12	19
APCL551	123	125	104	107	129	129	58	58	127	127	12	12
APCL552	122	122	106	106	126	126	56	56	127	127	?	?
pop = Malapascua												
APCL511	122	123	106	116	128	129	56	57	127	127	15	19
APCL512	122	123	107	116	126	129	56	58	126	127	?	?
APCL513	123	124	106	116	125	128	56	58	126	128	?	?
APCL514	122	122	107	110	128	129	56	56	127	127	12	17
APCL515	122	123	104	112	126	129	56	57	127	127	12	17
APCL516	123	123	110	116	126	128	56	57	126	127	12	12
APCL517	122	124	104	116	?	?	56	58	129	129	12	12
APCL518	122	122	116	116	128	131	56	58	127	129	14	17
APCL519	122	123	105	108	129	129	56	58	127	129	12	17
APCL520	122	122	109	110	129	129	56	58	127	127	12	12
APCL521	123	123	105	105	128	129	58	58	127	130	12	17
APCL522	122	123	105	106	126	128	56	56	127	127	12	12
APCL523	122	123	106	106	128	129	56	58	?	?	12	12
APCL524	122	125	107	116	129	131	56	56	127	127	12	12
APCL525	122	123	105	107	126	129	58	58	127	128	13	17
APCL526	122	122	103	116	129	129	56	58	127	127	12	19
APCL527	122	123	101	116	128	129	56	58	127	127	17	17
APCL528	122	123	106	106	126	126	56	56	127	127	15	17
APCL529	122	123	106	116	126	129	58	58	127	129	17	17
APCL531	122	122	106	106	129	130	58	59	127	127	12	12
pop = Pintuyan												
APCL306	122	122	106	107	129	130	56	58	?	?	12	12
APCL307	122	123	110	116	129	131	58	58	127	127	12	12
APCL308	122	125	106	107	126	126	58	58	127	127	12	17
APCL309	122	123	107	110	126	129	56	58	129	130	12	12
APCL310	122	123	106	110	129	129	56	58	126	127	12	17
APCL311	122	123	107	110	126	129	56	58	127	127	16	19
APCL312	125	125	106	110	125	125	56	58	127	127	12	12
APCL313	122	122	107	116	126	129	56	58	127	127	12	12
APCL314	123	123	106	106	126	129	57	58	127	127	12	12
APCL315	122	123	105	107	126	128	58	58	127	127	12	19
APCL316	123	123	107	107	126	129	56	56	?	?	12	17
APCL317	122	122	107	109	125	126	56	58	?	?	12	14
APCL318	122	123	106	106	128	129	56	58	126	127	?	?
APCL319	116	123	110	116	128	129	57	58	127	127	17	17
APCL320	123	123	100	106	129	129	58	58	?	?	12	17
APCL321	123	123	105	107	128	129	57	58	?	?	12	17
APCL322	123	127	106	109	129	130	57	57	127	129	12	12
pop = Padre Burgos												
APCL286	123	124	100	110	126	126	56	58	?	?	17	19
APCL287	123	123	110	116	126	128	56	58	127	127	12	12
APCL288	123	125	106	107	128	129	58	58	127	127	12	17
APCL289	122	123	104	107	126	132	56	58	?	?	10	12
APCL290	123	123	110	110	126	129	56	58	?	?	19	19
APCL291	122	123	105	106	126	126	56	58	?	?	12	19
APCL292	122	122	106	116	129	131	56	58	127	127	17	19
APCL293	122	123	106	108	126	130	56	56	126	127	17	17
APCL294	122	122	107	116	126	126	56	56	126	128	10	12
APCL295	?	?	106	107	128	129	56	58	127	127	12	12
APCL296	122	122	106	109	126	129	56	56	127	127	13	19
APCL297	122	122	107	116	126	130	58	58	127	128	17	19
APCL298	122	122	106	116	126	129	?	?	126	127	12	17
APCL299	123	123	106	106	126	128	56	56	127	127	12	17
APCL300	122	123	105	106	128	129	58	58	126	130	19	19
APCL301	123	125	107	116	?	?	58	59	127	129	12	17
APCL302	122	122	106	116	128	129	58	58	127	127	17	17
APCL303	122	123	106	110	126	129	56	56	127	127	12	17
APCL304	123	127	111	116	129	129	56	56	127	127	12	19
APCL305	123	125	104	104	126	129	56	57	127	127	17	19
pop = Maasin												
APCL264	122	122	106	106	126	126	56	58	127	127	12	17
APCL265	122	122	107	110	126	130	56	56	128	129	12	17
APCL266	122	124	106	107	126	128	56	58	127	127	?	?
APCL267	122	123	106	106	128	129	56	58	127	127	17	17
APCL268	123	123	105	107	125	126	56	56	127	127	?	?
APCL269	122	122	107	107	126	129	58	58	127	127	12	17
APCL270	122	122	106	116	128	129	56	58	129	129	12	17
APCL271	122	124	103	106	126	129	56	56	126	127	12	12
APCL272	122	123	107	109	129	130	56	56	?	?	12	19
APCL273	122	123	106	109	129	129	58	58	127	130	17	17
APCL274	123	125	106	112	129	129	56	57	126	127	12	12
APCL275	122	122	106	106	125	129	56	56	127	127	13	19
APCL279	123	123	106	107	125	129	58	59	?	?	12	17
APCL280	123	123	105	107	126	129	56	58	127	127	12	17
APCL281	123	125	105	107	126	128	56	58	127	127	17	17
APCL282	123	123	106	116	126	126	56	59	?	?	12	19
APCL283	123	125	107	116	126	126	58	58	127	129	19	19
APCL284	122	123	106	107	129	132	56	56	?	?	12	12
APCL285	123	124	100	110	126	126	56	58	?	?	17	19
pop = Inopacan												
APCL343	122	123	?	?	126	129	56	58	127	127	12	19
APCL344	122	122	106	110	126	126	56	58	127	129	12	17
APCL345	123	124	?	?	128	129	56	58	127	127	17	19
APCL346	122	123	106	106	126	129	56	56	126	127	12	17
APCL347	122	125	109	116	129	129	56	58	?	?	12	17
APCL348	123	125	105	116	129	132	58	58	127	127	19	19
APCL349	122	122	105	107	126	129	56	58	127	127	?	?
APCL350	122	125	106	107	129	129	56	58	?	?	12	14
APCL351	123	125	106	106	129	129	56	58	?	?	12	19
APCL352	123	123	106	106	126	126	56	58	127	127	12	15
APCL353	122	122	106	107	126	126	56	56	127	127	12	17
APCL354	122	122	?	?	129	129	56	56	127	127	12	17
APCL355	122	123	105	106	129	129	56	56	127	127	12	15
APCL356	122	123	107	107	129	129	58	59	127	127	12	19
APCL357	122	124	105	106	129	129	56	56	126	127	12	12
APCL358	125	125	106	107	126	129	56	58	126	127	12	17
APCL359	123	125	106	107	125	129	56	56	127	127	17	19
APCL360	123	124	106	116	126	129	56	58	127	127	15	19
APCL361	122	127	105	110	128	129	58	58	?	?	12	12
APCL362	122	122	106	107	126	128	56	58	127	127	12	19
APCL365	?	?	116	116	128	129	56	58	127	127	17	19
APCL366	123	123	106	116	126	128	58	58	126	127	?	?
APCL367	124	125	105	106	126	129	56	58	127	129	17	17
APCL368	122	125	106	110	128	129	56	58	126	126	17	17
APCL369	122	122	107	107	129	129	56	58	127	127	12	19
APCL370	122	122	106	108	126	129	56	58	126	127	17	17
APCL371	122	122	103	107	126	129	56	58	127	127	19	19
APCL372	122	123	106	106	126	129	56	56	127	127	12	12
APCL373	122	122	110	110	125	125	56	58	127	127	12	14
APCL374	121	122	104	107	125	125	56	56	127	127	17	19
APCL375	122	122	110	113	125	129	56	58	127	127	17	17
APCL376	123	125	109	116	?	?	56	56	126	126	12	17
APCL377	122	122	106	106	126	130	58	58	127	130	12	17
APCL378	122	123	106	116	126	129	56	56	126	127	15	17
pop = Baybay												
APCL399	122	122	105	116	126	128	56	58	127	127	12	17
APCL400	122	125	106	116	129	129	56	57	?	?	?	?
APCL401	122	123	106	106	129	129	56	56	127	127	12	13
APCL402	122	122	105	116	128	128	56	56	?	?	12	17
APCL403	122	125	?	?	129	130	58	59	?	?	17	19
APCL404	122	123	107	116	129	129	56	56	129	129	12	19
APCL405	122	122	109	116	128	129	58	58	127	127	17	19
APCL406	122	122	104	106	126	132	56	58	127	127	12	19
APCL407	122	123	107	116	126	129	56	56	127	127	17	19
APCL408	122	123	105	105	128	129	56	58	126	127	12	17
APCL409	122	123	105	116	126	129	56	58	127	127	16	17
APCL410	122	122	105	105	129	129	56	58	127	128	?	?
APCL411	122	122	103	106	125	131	56	58	126	127	12	12
APCL412	123	123	?	?	128	129	56	58	127	130	14	17
APCL413	122	122	106	107	125	128	56	58	127	127	?	?
APCL414	122	123	106	110	126	126	58	58	126	127	12	17
APCL416	122	122	101	106	128	129	58	58	127	127	12	13
APCL417	122	122	106	107	126	130	56	58	127	130	17	19
APCL418	123	124	106	110	125	129	56	58	?	?	13	17
pop = Albuera												
APCL379	122	122	106	116	126	129	56	56	127	127	17	17
APCL380	122	122	107	116	126	126	56	58	?	?	12	12
APCL381	122	123	105	107	129	129	56	58	126	127	17	17
APCL382	122	122	106	108	125	129	56	56	126	127	19	19
APCL383	122	125	109	110	129	129	56	58	127	127	17	17
APCL384	122	122	106	116	126	128	56	56	127	127	15	15
APCL385	122	122	106	110	128	129	56	56	127	127	12	18
APCL386	122	123	106	106	126	129	58	58	?	?	17	19
APCL387	122	122	116	116	126	129	58	58	126	127	12	12
APCL388	122	123	106	106	129	130	58	58	126	126	17	19
APCL389	122	125	105	106	126	126	58	58	127	127	17	19
APCL390	122	123	106	107	129	129	56	58	126	130	12	12
APCL391	122	122	107	107	126	129	56	56	127	127	17	19
APCL392	122	123	?	?	129	129	56	56	127	127	10	17
APCL393	122	122	107	116	?	?	56	58	127	127	12	12
APCL394	122	125	106	106	126	129	56	58	127	127	17	17
APCL395	122	125	104	106	125	126	56	58	127	127	17	19
APCL396	122	123	106	107	126	126	56	58	127	127	13	19
APCL397	122	123	105	106	126	132	56	58	127	127	12	17
APCL398	122	122	109	110	126	128	56	56	127	127	12	17
pop = Ormoc												
APCL445	122	122	?	?	128	129	56	56	126	130	17	17
APCL446	122	125	106	107	126	129	56	56	127	127	12	12
APCL447	122	122	106	106	126	128	56	58	126	129	12	12
APCL448	122	123	106	109	129	129	56	56	127	127	17	17
APCL449	122	122	106	116	125	126	56	58	127	129	13	17
APCL450	122	123	107	109	128	129	58	58	127	128	?	?
APCL451	122	123	110	116	126	129	56	56	126	126	12	12
APCL452	122	123	106	110	126	131	56	58	127	127	12	17
APCL453	122	124	105	109	126	129	58	58	127	127	17	17
APCL454	123	123	107	107	125	131	56	58	?	?	12	13
APCL455	122	123	?	?	126	130	58	58	126	127	17	19
APCL456	123	124	107	111	128	129	56	58	127	130	12	19
APCL457	122	123	106	106	129	130	58	58	127	130	12	17
APCL458	122	122	105	105	126	126	56	56	?	?	12	12
APCL459	122	123	116	116	129	129	56	59	126	127	17	17
APCL460	122	122	110	116	126	129	56	58	127	130	17	17
APCL461	122	123	105	110	128	130	56	58	127	127	12	14
APCL462	123	124	105	106	125	129	56	58	126	129	12	17
APCL463	122	122	106	106	129	129	56	58	127	130	?	?
APCL464	122	122	107	110	128	129	56	56	126	126	12	17
pop = Palompon												
APCL419	122	125	104	109	126	129	56	56	127	129	12	17
APCL420	122	123	106	110	128	128	58	58	127	129	12	17
APCL421	122	123	110	116	128	129	56	57	126	127	12	17
APCL422	122	122	106	106	126	129	56	58	126	128	13	19
APCL423	122	122	101	110	125	126	56	58	127	127	12	19
APCL424	122	123	?	?	126	128	56	58	129	129	13	19
APCL425	122	122	106	107	129	129	56	58	127	127	12	19
APCL426	122	125	?	?	126	126	58	58	127	127	12	12
APCL427	123	125	106	107	126	132	56	57	126	129	12	17
APCL428	122	125	107	111	126	129	58	58	?	?	17	19
APCL429	122	122	106	110	126	129	58	58	127	127	12	13
APCL430	122	122	106	109	129	129	56	59	127	127	17	19
APCL431	122	123	106	109	126	129	56	56	?	?	12	19
APCL432	122	125	104	110	126	131	56	56	127	127	12	17
APCL433	122	122	106	106	128	128	58	58	126	127	10	12
APCL434	122	123	109	109	126	129	56	58	127	127	14	17
APCL435	122	122	112	116	126	130	56	58	127	127	?	?
APCL436	121	122	105	106	128	129	58	58	126	127	12	17
APCL437	122	123	106	110	129	129	56	56	127	127	12	17
APCL438	122	122	?	?	126	129	?	?	126	126	17	17
